# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
River Plate,2004–05,Argentine Primera División,4,0,0,0,0,0,—,—,4,0
River Plate,2005–06,Argentine Primera División,14,5,0,0,4,2,—,—,18,7
River Plate,2006–07,Argentine Primera División,17,8,0,0,2,0,—,—,19,8
River Plate,Total,Total,35,13,0,0,6,2,—,—,41,15
Real Madrid,2006–07,La Liga,19,2,2,0,2,0,—,—,23,2
Real Madrid,2007–08,La Liga,25,8,4,1,5,0,—,—,34,9
Real Madrid,2008–09,La Liga,34,22,2,1,7,0,1,1,44,24
Real Madrid,2009–10,La Liga,32,27,1,0,7,2,—,—,40,29
Real Madrid,2010–11,La Liga,17,10,2,1,6,2,—,—,25,13
Real Madrid,2011–12,La Liga,35,22,5,1,12,3,2,0,54,26
Real Madrid,2012–13,La Liga,28,16,5,0,9,1,2,1,44,18
Real Madrid,Total,Total,190,107,21,4,48,8,5,2,264,121
Napoli,2013–14,Serie A,32,17,5,2,9,5,—,—,46,24
Napoli,2014–15,Serie A,37,18,4,1,16,8,1,2,58,29
Napoli,2015–16,Serie A,35,36,2,0,5,2,—,—,42,38
Napoli,Total,Total,104,71,11,3,30,15,1,2,146,91
Juventus,2016–17,Serie A,38,24,4,3,12,5,1,0,55,32
Juventus,2017–18,Serie A,35,16,4,2,10,5,1,0,50,23
Juventus,2019–20,Serie A,32,8,3,1,8,2,1,0,44,11
Juventus,Total,Total,105,48,11,6,30,12,3,0,149,66
AC Milan (loan),2018–19,Serie A,15,6,1,0,5,2,1,0,22,8
Chelsea (loan),2018–19,Premier League,14,5,2,0,2,0,1,0,19,5
Inter Miami,2020,MLS,9,1,—,—,—,—,—,—,9,1
Inter Miami,2021,MLS,30,12,—,—,—,—,—,—,30,12
Inter Miami,2022,MLS,28,16,2,0,—,—,1,0,31,16
Inter Miami,Total,Total,67,29,2,0,—,—,1,0,70,29
Career total,Career total,Career total,530,279,48,13,121,39,12,4,711,335
