# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Dundee,1973–74,Scottish First Division,0,0,0,0,1,0,0,0,–,–,1,0
Dundee,1974–75,Scottish First Division,1,0,0,0,1,0,0,0,–,–,2,0
Dundee,1975–76,Scottish Premier Division,23,6,1,0,6,0,0,0,–,–,30,6
Dundee,1976–77,Scottish First Division,36,7,6,1,0,0,–,–,–,–,42,8
Dundee,1977–78,Scottish First Division,9,0,0,0,5,1,–,–,–,–,14,1
Dundee,Total,Total,69,13,7,1,13,1,0,0,–,–,89,15
Aberdeen,1977–78,Scottish Premier Division,12,1,4,0,0,0,0,0,–,–,16,1
Aberdeen,1978–79,Scottish Premier Division,31,5,4,0,8,0,3,1,–,–,46,6
Aberdeen,1979–80,Scottish Premier Division,33,10,5,1,11,4,2,0,–,–,51,15
Aberdeen,1980–81,Scottish Premier Division,20,6,0,0,6,3,4,0,–,–,30,9
Aberdeen,1981–82,Scottish Premier Division,30,7,6,4,8,6,6,3,–,–,50,20
Aberdeen,1982–83,Scottish Premier Division,32,12,3,0,7,7,10,1,–,–,52,20
Aberdeen,1983–84,Scottish Premier Division,25,13,7,2,6,0,7,3,2,0,47,18
Aberdeen,Total,Total,183,54,29,7,46,20,32,8,2,0,292,89
Manchester United,1984–85,First Division,41,15,7,2,2,0,6,2,–,–,56,19
Manchester United,1985–86,First Division,28,5,5,0,1,0,–,–,4,0,38,5
Manchester United,1986–87,First Division,34,4,2,0,2,0,–,–,–,–,38,4
Manchester United,1987–88,First Division,36,8,3,0,5,1,–,–,–,–,44,9
Manchester United,1988–89,First Division,21,1,6,0,3,0,–,–,0,0,30,1
Manchester United,Total,Total,160,33,23,2,13,1,6,2,4,0,206,38
Leeds United,1988–89,Second Division,11,3,0,0,0,0,—,—,—,—,11,3
Leeds United,1989–90,Second Division,46,16,1,0,2,1,—,—,—,—,49,17
Leeds United,1990–91,First Division,34,7,6,1,7,1,—,—,—,—,47,9
Leeds United,1991–92,First Division,36,4,0,0,4,1,—,—,—,—,40,5
Leeds United,1992–93,Premier League,31,4,4,0,3,1,5,1,1,0,44,6
Leeds United,1993–94,Premier League,33,3,3,1,2,0,—,—,—,—,38,4
Leeds United,1994–95,Premier League,6,0,0,0,1,0,—,—,—,—,7,0
Leeds United,Total,Total,197,37,14,2,19,4,5,1,1,0,236,44
Coventry City,1994–95,Premier League,5,0,—,—,—,—,—,—,—,—,5,0
Coventry City,1995–96,Premier League,12,0,2,0,3,0,—,—,—,—,17,0
Coventry City,1996–97,Premier League,9,0,1,0,1,0,—,—,—,—,11,0
Coventry City,Total,Total,26,0,3,0,4,0,—,—,—,—,33,0
Career total,Career total,Career total,635,137,76,12,95,26,43,11,7,0,856,186
