# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Gårda BK,1936–37,Allsvenskan,1.0,0.0,,,–,–,–,–,,
Gårda BK,1937–38,Allsvenskan,22.0,4.0,,,–,–,–,–,,
Gårda BK,1938–39,Allsvenskan,22.0,8.0,,,–,–,–,–,,
Gårda BK,1939–40,Allsvenskan,9.0,4.0,,,–,–,–,–,,
Gårda BK,Total,Total,54.0,16.0,,,–,–,–,–,,
IFK Göteborg,1940–41,Allsvenskan,0.0,0.0,0.0,0.0,–,–,–,–,0.0,0.0
IFK Göteborg,1941–42,Allsvenskan,22.0,10.0,2.0,1.0,–,–,–,–,24.0,11.0
IFK Göteborg,1942–43,Allsvenskan,22.0,9.0,1.0,0.0,–,–,–,–,23.0,9.0
IFK Göteborg,1943–44,Allsvenskan,21.0,11.0,0.0,0.0,–,–,–,–,21.0,11.0
IFK Göteborg,1944–45,Allsvenskan,16.0,8.0,2.0,0.0,–,–,–,–,18.0,8.0
IFK Göteborg,1945–46,Allsvenskan,19.0,13.0,3.0,3.0,–,–,–,–,22.0,16.0
IFK Göteborg,1946–47,Allsvenskan,20.0,18.0,1.0,0.0,–,–,–,–,21.0,18.0
IFK Göteborg,1947–48,Allsvenskan,22.0,8.0,0.0,0.0,–,–,–,–,22.0,8.0
IFK Göteborg,1948–49,Allsvenskan,22.0,1.0,0.0,0.0,–,–,–,–,22.0,1.0
IFK Göteborg,Total,Total,164.0,78.0,9.0,4.0,–,–,–,–,173.0,82.0
AC Milan,1949–50,Serie A,37.0,18.0,,,,,,,,
AC Milan,1950–51,Serie A,36.0,9.0,,,,,4,0,,
AC Milan,1951–52,Serie A,31.0,7.0,,,,,,,,
AC Milan,1952–53,Serie A,29.0,4.0,,,,,,,,
AC Milan,Total,Total,133.0,38.0,,,,,,,,
Fiorentina,1953–54,Serie A,33.0,2.0,,,,,,,,
Fiorentina,1954–55,Serie A,23.0,2.0,,,,,,,,
Fiorentina,Total,Total,56.0,4.0,,,,,,,,
Genoa,1955–56,Serie A,32.0,23.0,,,,,,,,
Örgryte,1956–57,Division 2 Västra Götaland,,,,,–,–,–,–,,
Örgryte,1957–58,Division 2 Västra Götaland,,,,,–,–,–,–,,
Örgryte,1959,Allsvenskan,,,,,–,–,–,–,,
Örgryte,Total,Total,4.0,0.0,,,,,,,,
GAIS,1963,Division 2 Västra Götaland,20.0,2.0,,,–,–,–,–,,
GAIS,1964,Allsvenskan,2.0,0.0,,,,,,,,
Oddevold,1976,Division 4 Bohuslän-Dalsland,1.0,0.0,,,–,–,–,–,,
Career totals,Career totals,Career totals,466.0,142.0,,,,,,,,
