# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Hörnefors IF,1937–38,Division 3 Nedre Norrländskan,14.0,20.0,—,—,—,—,14.0,20.0
Hörnefors IF,1938–39,Division 3 Nedre Norrländskan,14.0,25.0,—,—,—,—,14.0,25.0
Hörnefors IF,1939–40,Division 3 Nedre Norrländskan,13.0,23.0,—,—,—,—,13.0,23.0
Hörnefors IF,Total,Total,41.0,68.0,—,—,—,—,41.0,68.0
Degerfors,1940–41,Allsvenskan,17.0,15.0,—,—,—,—,17.0,15.0
Degerfors,1941–42,Allsvenskan,21.0,13.0,—,—,—,—,21.0,13.0
Degerfors,1942–43,Allsvenskan,20.0,14.0,—,—,—,—,20.0,14.0
Degerfors,1943–44,Allsvenskan,19.0,14.0,—,—,—,—,19.0,14.0
Degerfors,Total,Total,77.0,56.0,—,—,—,—,77.0,56.0
Norrköping,1944–45,Allsvenskan,22.0,27.0,—,—,—,—,22.0,27.0
Norrköping,1945–46,Allsvenskan,21.0,25.0,—,—,—,—,21.0,25.0
Norrköping,1946–47,Allsvenskan,20.0,17.0,—,—,—,—,20.0,17.0
Norrköping,1947–48,Allsvenskan,22.0,18.0,—,—,—,—,22.0,18.0
Norrköping,1948–49,Allsvenskan,10.0,6.0,—,—,—,—,10.0,6.0
Norrköping,Total,Total,95.0,93.0,—,—,—,—,95.0,93.0
AC Milan,1948–49,Serie A,15.0,16.0,—,—,—,—,15.0,16.0
AC Milan,1949–50,Serie A,37.0,35.0,—,—,—,—,37.0,35.0
AC Milan,1950–51,Serie A,37.0,34.0,—,—,2,4,39.0,38.0
AC Milan,1951–52,Serie A,38.0,26.0,—,—,—,—,38.0,26.0
AC Milan,1952–53,Serie A,32.0,26.0,—,—,2,2,34.0,28.0
AC Milan,1953–54,Serie A,33.0,23.0,—,—,—,—,33.0,23.0
AC Milan,1954–55,Serie A,33.0,27.0,—,—,2,1,35.0,28.0
AC Milan,1955–56,Serie A,32.0,23.0,—,—,5,4,37.0,27.0
AC Milan,Total,Total,257.0,210.0,—,—,5,4,268.0,221.0
Roma,1956–57,Serie A,30.0,13.0,—,—,—,—,30.0,14.0
Roma,1957–58,Serie A,4.0,2.0,—,—,—,—,4.0,2.0
Roma,Total,Total,34.0,15.0,—,—,—,—,34.0,15.0
Karlstad BIK,1959,Division 2 Svealand,,,—,—,—,—,,
Karlstad BIK,1960,Division 2 Svealand,,,—,—,—,—,,
Karlstad BIK,Total,Total,24.0,11.0,—,—,—,—,24.0,11.0
Career total,Career total,Career total,538.0,453.0,—,—,5,4,543.0,457.0
