# List of international goals scored by Gunnar Nordahl
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,28 June 1942,"Parken, Copenhagen, Denmark",Denmark,2–0,3–0,Friendly,
2,4 October 1942,"Råsunda Stadium, Solna, Sweden",Denmark,2–0,2–1,Friendly,
3,20 June 1943,"Parken, Copenhagen, Denmark",Denmark,2–2,2–3,Friendly,
4,12 September 1943,"Råsunda Stadium, Solna, Sweden",Hungary,1–0,2–3,Friendly,
5,12 September 1943,"Råsunda Stadium, Solna, Sweden",Hungary,2–1,2–3,Friendly,
6,7 November 1943,"Üllői úti stadion, Budapest, Hungary",Hungary,4–2,7–2,Friendly,
7,7 November 1943,"Üllői úti stadion, Budapest, Hungary",Hungary,5–2,7–2,Friendly,
8,24 June 1945,"Råsunda Stadium, Solna, Sweden",Denmark,1–1,2–1,Friendly,
9,1 July 1945,"Parken, Copenhagen, Denmark",Denmark,2–1,4–3,Friendly,
10,30 September 1945,"Råsunda Stadium, Solna, Sweden",Denmark,1–1,4–1,Friendly,
11,21 October 1945,"Råsunda Stadium, Solna, Sweden",Norway,2–0,10–0,Friendly,
12,21 October 1945,"Råsunda Stadium, Solna, Sweden",Norway,3–0,10–0,Friendly,
13,21 October 1945,"Råsunda Stadium, Solna, Sweden",Norway,8–0,10–0,Friendly,
14,21 October 1945,"Råsunda Stadium, Solna, Sweden",Norway,10–0,10–0,Friendly,
15,7 July 1946,"Råsunda Stadium, Solna, Sweden",Switzerland,7–2,7–2,Friendly,
16,6 October 1946,"Gamla Ullevi, Gothenburg, Sweden",Denmark,3–2,3–3,Friendly,
17,15 June 1947,"Parken, Copenhagen, Denmark",Denmark,1–0,4–1,1937–47 Nordic Football Championship,
18,15 June 1947,"Parken, Copenhagen, Denmark",Denmark,2–0,4–1,1937–47 Nordic Football Championship,
19,26 June 1947,"Råsunda Stadium, Solna, Sweden",Denmark,4–0,6–1,Friendly,
20,28 June 1947,"Helsinki Olympic Stadium, Helsinki, Finland",Norway,1–1,5–1,Friendly,
21,28 June 1947,"Helsinki Olympic Stadium, Helsinki, Finland",Norway,2–1,5–1,Friendly,
22,28 June 1947,"Helsinki Olympic Stadium, Helsinki, Finland",Norway,3–1,5–1,Friendly,
23,28 June 1947,"Helsinki Olympic Stadium, Helsinki, Finland",Norway,4–1,5–1,Friendly,
24,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,2–0,7–0,1937–47 Nordic Football Championship,
25,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,4–0,7–0,1937–47 Nordic Football Championship,
26,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,5–0,7–0,1937–47 Nordic Football Championship,
27,14 September 1947,"Råsunda Stadium, Solna, Sweden",Poland,1–1,5–4,Friendly,
28,14 September 1947,"Råsunda Stadium, Solna, Sweden",Poland,4–2,5–4,Friendly,
29,5 October 1947,"Råsunda Stadium, Solna, Sweden",Norway,2–0,4–1,1937–47 Nordic Football Championship,
30,5 October 1947,"Råsunda Stadium, Solna, Sweden",Norway,3–1,4–1,1937–47 Nordic Football Championship,
31,19 November 1947,"Highbury, London, England",England,1–2,2–4,Friendly,
32,2 August 1948,"White Hart Lane, London, England",Austria,1–0,3–0,1948 Summer Olympics,
33,2 August 1948,"White Hart Lane, London, England",Austria,2–0,3–0,1948 Summer Olympics,
34,5 August 1948,"Selhurst Park, London, England",South Korea,2–0,12–0,1948 Summer Olympics,
35,5 August 1948,"Selhurst Park, London, England",South Korea,4–0,12–0,1948 Summer Olympics,
36,5 August 1948,"Selhurst Park, London, England",South Korea,9–0,12–0,1948 Summer Olympics,
37,5 August 1948,"Selhurst Park, London, England",South Korea,10–0,12–0,1948 Summer Olympics,
38,13 August 1948,"Wembley Stadium, London, England",Yugoslavia,2–1,3–1,1948 Summer Olympics,
39,19 September 1948,"Ullevaal Stadium, Oslo, Norway",Norway,1–1,5–3,1948–51 Nordic Football Championship,
40,19 September 1948,"Ullevaal Stadium, Oslo, Norway",Norway,2–2,5–3,1948–51 Nordic Football Championship,
41,19 September 1948,"Ullevaal Stadium, Oslo, Norway",Norway,3–2,5–3,1948–51 Nordic Football Championship,
42,19 September 1948,"Ullevaal Stadium, Oslo, Norway",Norway,4–2,5–3,1948–51 Nordic Football Championship,
43,19 September 1948,"Ullevaal Stadium, Oslo, Norway",Norway,5–2,5–3,1948–51 Nordic Football Championship,
