# List of international goals scored by Gylfi Sigurðsson
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,7 October 2011,"Estádio do Dragão, Porto, Portugal",6,Portugal,3–5,3–5,UEFA Euro 2012 qualification
2,12 October 2012,"Qemal Stafa Stadium, Tirana, Albania",13,Albania,2–1,2–1,2014 FIFA World Cup qualification
3,22 March 2013,"Stožice Stadium, Ljubljana, Slovenia",16,Slovenia,1–1,2–1,2014 FIFA World Cup qualification
4,22 March 2013,"Stožice Stadium, Ljubljana, Slovenia",16,Slovenia,2–1,2–1,2014 FIFA World Cup qualification
5,11 October 2013,"Laugardalsvöllur, Reykjavík, Iceland",19,Cyprus,2–0,2–0,2014 FIFA World Cup qualification
6,9 September 2014,"Laugardalsvöllur, Reykjavík, Iceland",25,Turkey,2–0,3–0,UEFA Euro 2016 qualification
7,10 October 2014,"Skonto Stadium, Riga, Latvia",26,Latvia,1–0,3–0,UEFA Euro 2016 qualification
8,13 October 2014,"Laugardalsvöllur, Reykjavík, Iceland",27,Netherlands,1–0,2–0,UEFA Euro 2016 qualification
9,13 October 2014,"Laugardalsvöllur, Reykjavík, Iceland",27,Netherlands,2–0,2–0,UEFA Euro 2016 qualification
10,3 September 2015,"Amsterdam Arena, Amsterdam, Netherlands",31,Netherlands,1–0,1–0,UEFA Euro 2016 qualification
11,10 October 2015,"Laugardalsvöllur, Reykjavík, Iceland",33,Latvia,2–0,2–2,UEFA Euro 2016 qualification
12,13 November 2015,"National Stadium, Warsaw, Poland",35,Poland,1–0,2–4,Friendly
13,1 June 2016,"Ullevaal Stadion, Oslo, Norway",38,Norway,2–3,2–3,Friendly
14,18 June 2016,"Stade Vélodrome, Marseille, France",41,Hungary,1–0,1–1,UEFA Euro 2016
15,24 March 2017,"Loro Boriçi Stadium, Shkodër, Albania",49,Kosovo,2–0,2–1,2018 FIFA World Cup qualification
16,5 September 2017,"Laugardalsvöllur, Reykjavík, Iceland",52,Ukraine,1–0,2–0,2018 FIFA World Cup qualification
17,5 September 2017,"Laugardalsvöllur, Reykjavík, Iceland",52,Ukraine,2–0,2–0,2018 FIFA World Cup qualification
18,9 October 2017,"Laugardalsvöllur, Reykjavík, Iceland",54,Kosovo,1–0,2–0,2018 FIFA World Cup qualification
19,2 June 2018,"Laugardalsvöllur, Reykjavík, Iceland",56,Norway,2–1,2–3,Friendly
20,26 June 2018,"Rostov Arena, Rostov-on-Don, Russia",60,Croatia,1–1,1–2,2018 FIFA World Cup
21,10 September 2019,"Elbasan Arena, Elbasan, Albania",70,Albania,1–1,2–4,UEFA Euro 2020 qualification
22,17 November 2019,"Zimbru Stadium, Chișinău, Moldova",74,Moldova,2–1,2–1,UEFA Euro 2020 qualification
23,8 October 2020,"Laugardalsvöllur, Reykjavík, Iceland",75,Romania,1–0,2–1,UEFA Euro 2020 qualification playoffs
24,8 October 2020,"Laugardalsvöllur, Reykjavík, Iceland",75,Romania,2–0,2–1,UEFA Euro 2020 qualification playoffs
25,12 November 2020,"Puskás Aréna, Budapest, Hungary",77,Hungary,1–0,1–2,UEFA Euro 2020 qualification playoffs
26,16 October 2023,"Laugardalsvöllur, Reykjavík, Iceland",80,Liechtenstein,1–0,4–0,UEFA Euro 2024 qualification
27,16 October 2023,"Laugardalsvöllur, Reykjavík, Iceland",80,Liechtenstein,3–0,4–0,UEFA Euro 2024 qualification
