# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vejle,1969-1970,Danish First Division,6,4,1,0,-,-,-,-,-,-,7,4
Vejle,1970-1971,Danish First Division,13,6,2,0,-,-,-,-,-,-,15,6
Vejle,1971-1972,Danish First Division,16,9,5,1,-,-,-,-,-,-,21,10
Vejle,1972-1973,Danish First Division,20,14,3,2,-,-,2,0,1,0,26,16
Vejle,Total,Total,55,33,11,3,-,-,2,0,1,0,69,36
Borussia Mönchengladbach,1972–73,Bundesliga,8,0,2,0,3,0,2,0,-,-,15,0
Borussia Mönchengladbach,1973–74,Bundesliga,9,2,2,0,0,0,3,3,-,-,14,5
Borussia Mönchengladbach,1974–75,Bundesliga,34,18,2,1,-,-,12,10,-,-,48,29
Borussia Mönchengladbach,1975–76,Bundesliga,34,16,4,2,-,-,6,4,-,-,44,22
Borussia Mönchengladbach,1976–77,Bundesliga,34,12,1,0,-,-,9,5,-,-,45,17
Borussia Mönchengladbach,1977–78,Bundesliga,31,17,5,3,-,-,6,5,-,-,42,25
Borussia Mönchengladbach,1978–79,Bundesliga,28,11,3,3,-,-,10,9,-,-,41,23
Borussia Mönchengladbach,Total,Total,178,76,19,9,3,0,48,36,-,-,249,121
Barcelona,1979–80,La Liga,32,10,2,0,0,0,5,4,-,-,41,14
Barcelona,1980–81,La Liga,33,10,9,2,0,0,2,0,-,-,44,12
Barcelona,1981–82,La Liga,33,11,2,1,0,0,9,5,-,-,44,17
Barcelona,Total,Total,98,31,13,3,-,-,16,9,-,-,129,43
Charlton Athletic,1982–83,Second Division,16,9,2,4,1,2,-,-,-,-,19,15
Charlton Athletic,Total,Total,16,9,2,4,1,2,-,-,-,-,19,15
Vejle,1983,First Division,28,13,5,7,-,-,-,-,3,1,37,21
Vejle,1984,First Division,13,6,4,3,-,-,-,-,1,1,18,10
Vejle,1985,First Division,30,16,3,4,-,-,-,-,4,4,37,24
Vejle,1986,First Division,24,13,3,2,-,-,2,1,3,0,30,16
Vejle,1987,First Division,25,13,3,4,-,-,-,-,2,2,30,19
Vejle,1988,First Division,23,4,5,3,-,-,-,-,5,4,33,11
Vejle,1989,First Division,23,5,5,2,-,-,-,-,4,1,32,6
Vejle,Total,Total,166,70,28,25,-,-,2,1,22,13,217,107
Career total,Career total,Career total,458,186,73,44,4,2,68,46,23,13,683,323
