# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Rapid Wien,1970–71,Austrian Bundesliga,4,0,2,0.0,–,–,–,–,6,0
Rapid Wien,1972–73,Austrian Bundesliga,30,14,8,6.0,–,–,4,1,42,21
Rapid Wien,1973–74,Austrian Bundesliga,32,36,6,5.0,–,–,4,1,42,42
Rapid Wien,1974–75,Austrian Bundesliga,33,17,3,0.0,–,–,4,1,40,18
Rapid Wien,1975–76,Austrian Bundesliga,35,20,6,6.0,–,–,2,1,43,27
Rapid Wien,1976–77,Austrian Bundesliga,35,32,1,2.0,–,–,2,1,38,35
Rapid Wien,1977–78,Austrian Bundesliga,36,41,3,1.0,–,–,2,0,41,42
Rapid Wien,Total,Total,207,160,27,20.0,–,–,18,5,252,185
Wiener AC (loan),1971–72,,26,27,,,–,–,–,–,26,27
Barcelona,1978–79,La Liga,30,29,1,1.0,–,–,9,5,40,36
Barcelona,1979–80,La Liga,9,2,0,0.0,–,–,3,4,12,6
Barcelona,1980–81,La Liga,7,3,0,0.0,–,–,1,0,8,3
Barcelona,Total,Total,46,34,1,1.0,–,–,13,9,60,45
First Vienna (loan),1979–80,Austrian Bundesliga,17,12,,,–,–,–,–,17+,12+
Rapid Wien,1980–81,Austrian Bundesliga,18,16,1,0.0,–,–,–,–,19,16
Rapid Wien,1981–82,Austrian Bundesliga,32,19,2,1.0,–,–,6,3,40,23
Rapid Wien,1982–83,Austrian Bundesliga,26,23,7,9.0,–,–,4,4,37,36
Rapid Wien,1983–84,Austrian Bundesliga,27,17,7,8.0,–,–,6,1,40,26
Rapid Wien,1984–85,Austrian Bundesliga,25,14,7,12.0,–,–,8,4,40,30
Rapid Wien,1985–86,Austrian Bundesliga,17,18,1,1.0,–,–,3,1,21,20
Rapid Wien,Total,Total,145,107,25,31.0,–,–,27,13,197,151
Wiener Sport-Club,1986–87,,27,20,,,–,–,–,–,27+,20+
Wiener Sport-Club,1987–88,,33,20,2+,1.0,–,–,–,–,35+,21
Wiener Sport-Club,Total,Total,60,40,,,–,–,–,–,60+,40+
Kremser SC,1988–89,Austrian First League,5,1,0,0.0,–,–,–,–,5+,1+
Austria Salzburg,1988–89,Austrian First League,14,10,2,0.0,–,–,–,–,16,10
Career total,Career total,Career total,473,354,59+,53.0,–,–,58,27,590+,472+
