# List of international goals scored by Hans Krankl
No.,Date,Venue,Opponent,Score,Result,Competition
1.0,27 March 1974,"De Kuip, Rotterdam",Netherlands,1–0,1–1,Friendly
2.0,4 September 1974,"Praterstadion, Vienna",Wales,2–1,2–1,Euro 1976 qualifier
3.0,28 September 1974,"Praterstadion, Vienna",Hungary,1–0,1–0,Friendly
4.0,16 March 1975,"Stade Municipal, Luxembourg",Luxembourg,2–1,2–1,Euro 1976 qualifier
5.0,24 September 1975,"Népstadion, Budapest",Hungary,1–2,1–2,Euro 1976 qualifier
6.0,15 October 1975,"Praterstadion, Vienna",Luxembourg,2–2,6–2,Euro 1976 qualifier
7.0,15 October 1975,"Praterstadion, Vienna",Luxembourg,5–2,6–2,Euro 1976 qualifier
8.0,22 September 1976,"Linzer Stadion, Linz",Switzerland,1–0,3–1,Friendly
9.0,13 October 1976,"Praterstadion, Vienna",Hungary,1–2,4–2,Friendly
10.0,13 October 1976,"Praterstadion, Vienna",Hungary,2–2,4–2,Friendly
11.0,10 November 1976,"Anthi Karagianni Stadium, Kavala",Greece,2–0,3–0,Friendly
12.0,5 December 1976,"Empire Stadium, Gżira",Malta,1–0,1–0,1978 World Cup qualifier
13.0,15 December 1976,"National Stadium, Ramat Gan",Israel,3–1,3–1,Friendly
14.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,1–0,9–0,1978 World Cup qualifier
15.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,2–0,9–0,1978 World Cup qualifier
16.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,3–0,9–0,1978 World Cup qualifier
17.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,4–0,9–0,1978 World Cup qualifier
18.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,6–0,9–0,1978 World Cup qualifier
19.0,30 April 1977,"Stadion Lehen, Salzburg",Malta,8–0,9–0,1978 World Cup qualifier
20.0,24 August 1977,"Praterstadion, Vienna",Poland,2–0,2–1,Friendly
21.0,15 February 1978,"Nea Filadelfeia Stadium, Athens",Greece,1–1,1–1,Friendly
22.0,3 June 1978,"José Amalfitani Stadium, Buenos Aires",Spain,2–1,2–1,1978 World Cup
23.0,7 June 1978,"José Amalfitani Stadium, Buenos Aires",Sweden,1–0,1–0,1978 World Cup
24.0,21 June 1978,"Estadio Chateau Carreras, Córdoba",West Germany,2–1,3–2,1978 World Cup
25.0,21 June 1978,"Estadio Chateau Carreras, Córdoba",West Germany,3–2,3–2,1978 World Cup
26.0,30 August 1978,"Ullevaal Stadium, Oslo",Norway,2–0,2–0,Euro 1980 qualifier
27.0,28 March 1979,"Parc Astrid, Brussels",Belgium,1–1,1–1,Euro 1980 qualifier
28.0,29 August 1979,"Praterstadion, Vienna",Norway,4–0,4–0,Euro 1980 qualifier
29.0,17 October 1979,"Hampden Park, Glasgow",Scotland,1–0,1–1,Euro 1980 qualifier
30.0,15 November 1980,"Praterstadion, Vienna",Albania,5–0,5–0,1982 World Cup qualifier
31.0,28 May 1981,"Praterstadion, Vienna",Bulgaria,1–0,2–0,1982 World Cup qualifier
32.0,17 June 1981,"Linzer Stadion, Linz",Finland,3–0,3–0,1982 World Cup qualifier
33.0,24 March 1982,"Népstadion, Budapest",Hungary,1–0,3–2,Friendly
34.0,21 June 1982,"Estadio Carlos Tartiere, Oviedo",Algeria,2–0,2–0,1982 World Cup
