# List of international goals scored by Henrik Larsson
No.,Date,Venue,Opponent,Score,Result,Competition
1,13 October 1993,"Råsunda, Stockholm, Sweden",Finland,2–1,3–2,1994 FIFA World Cup qualifier
2,20 February 1994,"Joe Robbie Stadium, Miami, United States",United States,1–1,3–1,Joe Robbie Cup
3,20 April 1994,"Racecourse Ground, Wrexham, United Kingdom",Wales,1–0,2–0,Friendly
4,5 May 1994,"Råsunda, Stockholm, Sweden",Nigeria,2–0,3–1,Friendly
5,16 July 1994,"Rose Bowl, Pasadena, United States",Bulgaria,3–0,4–0,1994 FIFA World Cup
6,17 August 1994,"Råsunda, Stockholm, Sweden",Lithuania,4–2,4–2,Friendly
7,1 June 1996,"Råsunda, Stockholm, Sweden",Belarus,5–1,5–1,1998 FIFA World Cup qualifier
8,14 October 1998,"Neftochimik Stadium, Burgas, Bulgaria",Bulgaria,1–0,1–0,UEFA Euro 2000 qualifier
9,27 March 1999,"Ullevi, Gothenburg, Sweden",Luxembourg,2–0,2–0,UEFA Euro 2000 qualifier
10,9 October 1999,"Råsunda, Stockholm, Sweden",Poland,2–0,2–0,UEFA Euro 2000 qualifier
11,19 June 2000,"Philips Stadion, Eindhoven, Netherlands",Italy,1–1,1–2,UEFA Euro 2000
12,7 October 2000,"Ullevi, Gothenburg, Sweden",Turkey,1–0,1–1,2002 FIFA World Cup qualifier
13,28 February 2001,"Ta' Qali National Stadium, Ta'Qali, Malta",Malta,2–0,3–0,Friendly
14,6 June 2001,"Ullevi, Gothenburg, Sweden",Moldova,1–0,6–0,2002 FIFA World Cup qualifier
15,6 June 2001,"Ullevi, Gothenburg, Sweden",Moldova,2–0,6–0,2002 FIFA World Cup qualifier
16,6 June 2001,"Ullevi, Gothenburg, Sweden",Moldova,3–0,6–0,2002 FIFA World Cup qualifier
17,6 June 2001,"Ullevi, Gothenburg, Sweden",Moldova,6–0,6–0,2002 FIFA World Cup qualifier
18,15 August 2001,"Råsunda, Stockholm, Sweden",South Africa,1–0,3–0,Friendly
19,1 September 2001,"City Stadium, Skopje, Macedonia",Macedonia,1–0,2–1,2002 FIFA World Cup qualifier
20,5 September 2001,"Ali Sami Yen Stadium, Istanbul, Turkey",Turkey,1–1,2–1,2002 FIFA World Cup qualifier
21,7 October 2001,"Råsunda, Stockholm, Sweden",Azerbaijan,2–0,3–0,2002 FIFA World Cup qualifier
22,7 June 2002,"Kobe Wing Stadium, Kobe, Japan",Nigeria,1–1,2–1,2002 FIFA World Cup
23,7 June 2002,"Kobe Wing Stadium, Kobe, Japan",Nigeria,2–1,2–1,2002 FIFA World Cup
24,16 June 2002,"Ōita Stadium, Ōita, Japan",Senegal,1–0,1–2,2002 FIFA World Cup
25,5 June 2004,"Råsunda, Stockholm, Sweden",Poland,1–0,3–1,Friendly
26,14 June 2004,"Estádio José Alvalade, Lisbon, Portugal",Bulgaria,2–0,5–0,UEFA Euro 2004
27,14 June 2004,"Estádio José Alvalade, Lisbon, Portugal",Bulgaria,3–0,5–0,UEFA Euro 2004
28,22 June 2004,"Estádio do Bessa Século XXI, Porto, Portugal",Denmark,1–1,2–2,UEFA Euro 2004
29,4 September 2004,"Ta' Qali National Stadium, Ta'Qali, Malta",Malta,7–0,7–0,2006 FIFA World Cup qualifier
30,9 October 2004,"Råsunda, Stockholm, Sweden",Hungary,2–0,3–0,2006 FIFA World Cup qualifier
31,13 October 2004,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,1–0,4–1,2006 FIFA World Cup qualifier
32,13 October 2004,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,3–0,4–1,2006 FIFA World Cup qualifier
33,17 August 2005,"Ullevi, Gothenburg, Sweden",Czech Republic,1–0,2–1,Friendly
34,12 October 2005,"Råsunda, Stockholm, Sweden",Iceland,2–1,3–1,2006 FIFA World Cup qualifier
35,2 June 2006,"Råsunda, Stockholm, Sweden",Chile,1–0,1–1,Friendly
36,20 June 2006,"RheinEnergieStadion, Cologne, Germany",England,2–2,2–2,2006 FIFA World Cup
37,20 August 2008,"Ullevi, Gothenburg, Sweden",France,1–0,2–3,Friendly
