# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bellmare Hiratsuka,1995,J1 League,26,8,2,1,—,—,6,1,1,0,35,10
Bellmare Hiratsuka,1996,J1 League,26,2,3,0,12,2,3,0,—,—,44,4
Bellmare Hiratsuka,1997,J1 League,21,3,3,0,6,1,—,—,—,—,30,4
Bellmare Hiratsuka,1998,J1 League,12,3,—,—,—,—,—,—,—,—,12,3
Bellmare Hiratsuka,Total,Total,85,16,8,1,18,3,9,1,1,0,121,21
Perugia,1998–99,Serie A,33,10,—,—,0,0,—,—,—,—,33,10
Perugia,1999–2000,Serie A,15,2,—,—,4,1,3,1,—,—,22,4
Perugia,Total,Total,48,12,—,—,4,1,3,1,—,—,55,14
Roma,1999–2000,Serie A,15,3,—,—,1,0,2,0,—,—,18,3
Roma,2000–01,Serie A,15,2,—,—,0,0,7,1,—,—,22,3
Roma,Total,Total,30,5,—,—,1,0,9,1,—,—,40,6
Parma,2001–02,Serie A,24,1,—,—,6,2,8,1,—,—,38,4
Parma,2002–03,Serie A,31,4,—,—,1,0,4,0,1,0,37,4
Parma,2003–04,Serie A,12,0,—,—,2,0,3,1,—,—,17,1
Parma,Total,Total,67,5,—,—,9,2,15,2,1,0,92,9
Bologna (loan),2003–04,Serie A,17,2,—,—,0,0,—,—,—,—,17,2
Fiorentina,2004–05,Serie A,20,0,—,—,4,0,—,—,—,—,24,0
Bolton Wanderers (loan),2005–06,Premier League,21,1,3,0,2,0,6,0,—,—,32,1
Career total,Career total,Career total,288,41,11,1,38,6,42,5,2,0,381,53
