# Appearances and goals by club, season and competition
Club,Season,League Unnamed: 2_level_1,League Unnamed: 3_level_1,League Unnamed: 4_level_1,National cup Unnamed: 5_level_1,National cup Unnamed: 6_level_1,Continental Unnamed: 7_level_1,Continental Unnamed: 8_level_1,Other Unnamed: 9_level_1,Other Unnamed: 10_level_1,ToGoals Unnamed: 11_level_1,ToGoals Unnamed: 12_level_1
Al Ahly,1984–85,Egyptian Premier League,2,0,3,0,–,–,–,5,0,
Al Ahly,1985–86,Egyptian Premier League,17,6,0,0,7,3,–,–,24,9.0
Al Ahly,1986–87,Egyptian Premier League,18,4,0,0,8,1,–,–,26,5.0
Al Ahly,1987–88,Egyptian Premier League,18,9,0,0,2,2,–,–,20,11.0
Al Ahly,1988–89,Egyptian Premier League,18,10,5,2,0,0,–,–,23,12.0
Al Ahly,1989–90,Egyptian Premier League,5,2,0,0,0,0,–,–,5,2.0
Al Ahly,1990–91,Egyptian Premier League,0,0,0,0,1,2,–,–,1,2.0
Al Ahly,Total,Total,78,31,8,2,18,8,–,–,107,41.0
PAOK,1990–91,Alpha Ethniki,19,5,2,1,0,0,–,–,21,6.0
Neuchâtel Xamax,1991–92,Nationalliga A,8,3,0,0,3,4,–,–,11,7.0
Al Ahly,1992–93,Egyptian Premier League,25,15,2,0,10,2,–,–,37,17.0
Al Ahly,1993–94,Egyptian Premier League,10,4,0,0,1,0,–,–,11,4.0
Al Ahly,1994–95,Egyptian Premier League,18,7,0,0,0,0,4,1,22,8.0
Al Ahly,1995–96,Egyptian Premier League,18,11,6,5,0,0,1,1,25,17.0
Al Ahly,1996–97,Egyptian Premier League,26,14,1,0,0,0,4,1,31,15.0
Al Ahly,1997–98,Egyptian Premier League,26,9,0,0,0,0,–,–,26,9.0
Al Ahly,1998–99,Egyptian Premier League,24,15,1,0,1,1,4,0,30,16.0
Al Ahly,1999–2000,Egyptian Premier League,6,3,0,0,6,6,0,0,12,9.0
Al Ahly,Total,Total,153,78,10,5,18,9,13,3,194,96.0
Al Ain,1999–2000,UAE Football League,10,3,0,0,–,–,–,–,10,3.0
Zamalek,2000–01,Egyptian Premier League,16,7,1,0,7,3,3,3,27,13.0
Zamalek,2001–02,Egyptian Premier League,21,18,3,1,13,6,1,1,38,26.0
Zamalek,2002–03,Egyptian Premier League,15,9,3,1,2,1,6,1,26,12.0
Zamalek,2003–04,Egyptian Premier League,9,4,0,0,1,0,6,0,16,4.0
Zamalek,Total,Total,61,38,7,2,23,10,19,7,110,57.0
Al-Masry,2004–05,Egyptian Premier League,25,10,6,3,–,–,–,–,31,13.0
Al-Masry,2005–06,Egyptian Premier League,22,5,0,0,–,–,–,–,22,5.0
Al-Masry,Total,Total,47,15,6,3,–,–,–,–,53,18.0
Tersana,2006–07,Egyptian Premier League,20,6,1,0,–,–,–,–,21,6.0
Al-Ittihad,2007–08,Egyptian Premier League,5,0,0,0,–,–,–,–,5,0.0
Career total,Career total,Career total,401,179,34,13,62,31,32,10,531,234.0
