# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Hebros,1982–83,V Group,11.0,4.0,,,–,–,–,–,–,–,11,4
Hebros,1983–84,V Group,21.0,10.0,,,–,–,–,–,–,–,21,10
Hebros,Total,Total,32.0,14.0,,,–,–,–,–,–,–,32,14
CSKA Sofia,1984–85,A Group,11.0,0.0,3.0,0.0,–,–,,,–,–,14,0
CSKA Sofia,1985–86,A Group,0.0,0.0,2.0,2.0,–,–,,,–,–,2,2
CSKA Sofia,1986–87,A Group,25.0,6.0,2.0,0.0,—,—,7,1,—,—,34,7
CSKA Sofia,1987–88,A Group,27.0,14.0,4.0,4.0,—,—,7,5,—,—,38,23
CSKA Sofia,1988–89,A Group,26.0,23.0,7.0,3.0,—,—,8,7,—,—,41,33
CSKA Sofia,1989–90,A Group,30.0,38.0,5.0,7.0,—,—,3,2,1,1,39,48
CSKA Sofia,Total,Total,119.0,81.0,23.0,16.0,—,—,25,16,1,1,168,113
Barcelona,1990–91,La Liga,24.0,14.0,5.0,2.0,—,—,8,6,1,0,38,22
Barcelona,1991–92,La Liga,32.0,17.0,1.0,1.0,—,—,9,4,1,0,43,22
Barcelona,1992–93,La Liga,34.0,20.0,4.0,0.0,—,—,5,0,3,3,46,23
Barcelona,1993–94,La Liga,34.0,16.0,4.0,0.0,—,—,8,7,2,1,48,24
Barcelona,1994–95,La Liga,27.0,9.0,2.0,2.0,—,—,8,3,2,3,39,17
Barcelona,Total,Total,151.0,76.0,16.0,5.0,0,0,36,20,11,7,214,108
Parma,1995–96,Serie A,23.0,5.0,2.0,0.0,—,—,5,2,—,—,30,7
Barcelona,1996–97,La Liga,22.0,7.0,4.0,0.0,—,—,7,0,2,1,35,8
Barcelona,1997–98,La Liga,2.0,0.0,1.0,0.0,—,—,2,1,1,0,6,1
Barcelona,Total,Total,24.0,7.0,5.0,0.0,0,0,9,1,3,1,41,9
CSKA Sofia,1997–98,A Group,4.0,2.0,1.0,1.0,—,—,,,—,—,5,3
Al-Nassr,1997–98,Saudi Premier League,,,,,,,2,1,—,—,2,1
Kashiwa Reysol,1998,J1 League,16.0,8.0,1.0,0.0,0,0,—,—,—,—,17,8
Kashiwa Reysol,1999,J1 League,11.0,4.0,0.0,0.0,1,1,—,—,—,—,12,5
Kashiwa Reysol,Total,Total,27.0,12.0,1.0,0.0,1,1,—,—,—,—,29,13
Chicago Fire,2000,MLS,18.0,9.0,3.0,1.0,,,,,7,4,28,14
Chicago Fire,2001,MLS,17.0,6.0,3.0,2.0,,,,,3,0,23,8
Chicago Fire,2002,MLS,16.0,2.0,0.0,0.0,,,,,3,0,19,2
Chicago Fire,Total,Total,51.0,17.0,6.0,3.0,,,,,,,70,27
D.C. United,2003,MLS,21.0,5.0,3.0,1.0,,,,,2,0,26,6
Total,Total,Total,452.0,219.0,57.0,26.0,1,1,77,40,30,13,617,298
