# List of international goals scored by Hugo Sánchez
No.,Date,Venue,Opponent,Score,Result,Competition
1.0,9 October 1977,"Estadio Azteca, Mexico City, Mexico",Haiti,1–0,4–1,1977 CONCACAF Championship
2.0,15 October 1977,"Estadio Universitario, San Nicolás de los Garza, Mexico",Suriname,1–0,8–1,1977 CONCACAF Championship
3.0,15 October 1977,"Estadio Universitario, San Nicolás de los Garza, Mexico",Suriname,4–1,8–1,1977 CONCACAF Championship
4.0,22 October 1977,"Estadio Universitario, San Nicolás de los Garza, Mexico",Canada,3–1,3–1,1977 CONCACAF Championship
5.0,5 February 1978,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,5–1,5–1,Friendly
6.0,5 February 1978,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,5–1,5–1,Friendly
7.0,5 February 1978,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,5–1,5–1,Friendly
8.0,3 May 1978,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–0,1–0,Friendly
9.0,6 January 1979,"Estadio Universitario, San Nicolás de los Garza, Mexico",Soviet Union,1–0,1–0,Friendly
10.0,4 December 1979,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,1–0,2–0,Friendly
11.0,4 December 1979,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,2–0,2–0,Friendly
12.0,18 December 1979,"Estadio Municipal, Texcoco, Mexico",El Salvador,1–1,1–1,Friendly
13.0,8 April 1980,"Estadio Nemesio Díez, Toluca, Mexico",Honduras,1–0,5–1,Friendly
14.0,8 April 1980,"Estadio Nemesio Díez, Toluca, Mexico",Honduras,5–1,5–1,Friendly
15.0,15 April 1980,"Estadio Mateo Flores, Guatemala City, Guatemala",Guatemala,4–2,4–2,Friendly
16.0,29 April 1980,"Estadio Nemesio Díez, Toluca, Mexico",Guatemala,1–1,2–2,Friendly
17.0,9 November 1980,"Estadio Azteca, Mexico City, Mexico",United States,1–0,5–1,1981 CONCACAF Championship qualification
18.0,16 November 1980,"Estadio Azteca, Mexico City, Mexico",Canada,1–0,1–1,1981 CONCACAF Championship qualification
19.0,23 November 1980,"Lockhart Stadium, Fort Lauderdale, United States",United States,1–1,1–2,1981 CONCACAF Championship qualification
20.0,20 January 1981,"Estadio Azteca, Mexico City, Mexico",Bulgaria,1–0,1–1,Friendly
21.0,23 June 1981,"Estadio Azteca, Mexico City, Mexico",Spain,1–2,1–3,Friendly
22.0,1 November 1981,"Estadio Tiburcio Carías Andino, Tegucigalpa, Honduras",Cuba,2–0,4–0,1981 CONCACAF Championship
23.0,1 November 1981,"Estadio Tiburcio Carías Andino, Tegucigalpa, Honduras",Cuba,3–0,4–0,1981 CONCACAF Championship
24.0,11 November 1981,"Estadio Tiburcio Carías Andino, Tegucigalpa, Honduras",Haiti,1–1,1–1,1981 CONCACAF Championship
25.0,25 August 1985,"Los Angeles Memorial Coliseum, Los Angeles, United States",Chile,1–1,2–1,Friendly
26.0,3 June 1986,"Estadio Azteca, Mexico City, Mexico",Belgium,2–0,2–1,1986 FIFA World Cup
27.0,11 April 1993,"Estadio Azteca, Mexico City, Mexico",Honduras,2–0,3–0,1994 FIFA World Cup qualification
28.0,9 May 1993,"Varsity Stadium, Toronto, Canada",Canada,1–1,2–1,1994 FIFA World Cup qualification
29.0,30 June 1993,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,1–0,2–0,1993 Copa América
