# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Chester,1978–79,Third Division,1,0,0,0,0,0,—,—,—,—,1,0
Chester,1979–80,Third Division,33,14,5,4,0,0,—,—,—,—,38,18
Chester,Total,Total,34,14,5,4,0,0,—,—,—,—,39,18
Liverpool,1980–81,First Division,7,0,0,0,1,0,1,0,—,—,9,0
Liverpool,1981–82,First Division,32,17,3,3,10,8,4,2,—,—,49,30
Liverpool,1982–83,First Division,34,24,3,2,8,2,5,2,1,1,51,31
Liverpool,1983–84,First Division,41,32,2,2,12,8,9,5,1,0,65,47
Liverpool,1984–85,First Division,28,14,6,7,1,0,6,5,3,0,44,26
Liverpool,1985–86,First Division,40,22,8,6,6,3,—,—,2,2,56,33
Liverpool,1986–87,First Division,42,30,3,0,9,4,—,—,3,6,57,40
Liverpool,Total,Total,224,139,25,20,47,25,25,14,10,9,331,207
Juventus,1987–88,Serie A,29,7,7,5,—,—,3,1,1,0,40,13
Liverpool,1988–89,First Division,24,7,2,3,4,1,—,—,2,0,32,11
Liverpool,1989–90,First Division,36,18,8,6,3,2,—,—,1,0,48,26
Liverpool,1990–91,First Division,37,16,7,5,3,5,—,—,1,0,48,26
Liverpool,1991–92,First Division,18,4,5,1,3,3,5,1,—,—,31,9
Liverpool,1992–93,Premier League,32,14,1,1,4,1,4,5,1,1,42,22
Liverpool,1993–94,Premier League,42,14,2,1,5,4,—,—,—,—,49,19
Liverpool,1994–95,Premier League,36,12,7,1,7,6,—,—,—,—,50,19
Liverpool,1995–96,Premier League,20,5,4,1,2,1,3,0,—,—,29,7
Liverpool,Total,Total,245,90,36,19,31,23,12,6,5,1,329,139
Leeds United,1996–97,Premier League,36,3,4,0,2,0,—,—,—,—,42,3
Newcastle United,1997–98,Premier League,10,0,1,1,2,1,1,0,—,—,14,2
Sheffield United,1997–98,First Division,4,0,—,—,—,—,—,—,—,—,4,0
Wrexham,1998–99,Second Division,17,0,4,0,2,0,—,—,4,0,27,0
Sydney Olympic,1999–2000,National Soccer League,2,1,—,—,—,—,—,—,—,—,2,1
Career total,Career total,Career total,601,254,82,49,84,49,41,21,20,10,828,383
