# List of international goals scored by Ivan Perišić
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,11 September 2012,"King Baudouin Stadium, Brussels, Belgium",11,Belgium,1–0,1–1,2014 FIFA World Cup qualification
2,31 May 2014,"Gradski Vrt Stadium, Osijek, Croatia",28,Mali,1–0,2–1,Friendly
3,31 May 2014,"Gradski Vrt Stadium, Osijek, Croatia",28,Mali,2–0,2–1,Friendly
4,18 June 2014,"Arena Amazônia, Manaus, Brazil",31,Cameroon,2–0,4–0,2014 FIFA World Cup
5,23 June 2014,"Arena Pernambuco, Recife, Brazil",32,Mexico,1–3,1–3,2014 FIFA World Cup
6,13 October 2014,"Gradski Vrt Stadium, Osijek, Croatia",34,Azerbaijan,2–0,6–0,UEFA Euro 2016 qualifying
7,13 October 2014,"Gradski Vrt Stadium, Osijek, Croatia",34,Azerbaijan,3–0,6–0,UEFA Euro 2016 qualifying
8,16 November 2014,"San Siro, Milan, Italy",35,Italy,1–1,1–1,UEFA Euro 2016 qualifying
9,28 March 2015,"Stadion Maksimir, Zagreb, Croatia",36,Norway,2–0,5–1,UEFA Euro 2016 qualifying
10,10 October 2015,"Stadion Maksimir, Zagreb, Croatia",41,Bulgaria,1–0,3–0,UEFA Euro 2016 qualifying
11,13 October 2015,"National Stadium, Ta' Qali, Malta",42,Malta,1–0,1–0,UEFA Euro 2016 qualifying
12,23 March 2016,"Gradski Vrt Stadium, Osijek, Croatia",44,Israel,1–0,2–0,Friendly
13,4 June 2016,"Stadion Rujevica, Rijeka, Croatia",47,San Marino,6–0,10–0,Friendly
14,17 June 2016,"Stade Geoffroy-Guichard, Saint-Étienne, France",49,Czech Republic,1–0,2–2,UEFA Euro 2016
15,21 June 2016,"Nouveau Stade de Bordeaux, Bordeaux, France",50,Spain,2–1,2–1,UEFA Euro 2016
16,6 October 2016,"Loro Boriçi Stadium, Shkodër, Albania",53,Kosovo,5–0,6–0,2018 FIFA World Cup qualification
17,9 November 2017,"Stadion Maksimir, Zagreb, Croatia",62,Greece,3–1,4–1,2018 FIFA World Cup qualification
18,8 June 2018,"Gradski Vrt Stadium, Osijek, Croatia",66,Senegal,1–1,2–1,Friendly
19,26 June 2018,"Rostov Arena, Rostov-on-Don, Russia",69,Iceland,2–1,2–1,2018 FIFA World Cup
20,11 July 2018,"Luzhniki Stadium, Moscow, Russia",72,England,1–1,2–1,2018 FIFA World Cup
21,15 July 2018,"Luzhniki Stadium, Moscow, Russia",73,France,1–1,2–4,2018 FIFA World Cup
22,6 September 2018,"Estádio Algarve, Faro/Loulé, Portugal",74,Portugal,1–0,1–1,Friendly
23,8 June 2019,"Gradski Vrt Stadium, Osijek, Croatia",81,Wales,2–0,2–1,UEFA Euro 2020 qualifying
24,6 September 2019,"Anton Malatinský Stadium, Trnava, Slovakia",83,Slovakia,2–0,4–0,UEFA Euro 2020 qualifying
25,16 November 2019,"Stadion Rujevica, Rijeka, Croatia",87,Slovakia,3–1,3–1,UEFA Euro 2020 qualifying
26,19 November 2019,"Stadion Aldo Drosina, Pula, Croatia",88,Georgia,2–1,2–1,Friendly
27,30 March 2021,"Stadion Rujevica, Rijeka, Croatia",99,Malta,1–0,3–0,2022 FIFA World Cup qualification
28,1 June 2021,"Stadion Radnik, Velika Gorica, Croatia",100,Armenia,1–0,1–1,Friendly
29,18 June 2021,"Hampden Park, Glasgow, Scotland",103,Czech Republic,1–1,1–1,UEFA Euro 2020
30,22 June 2021,"Hampden Park, Glasgow, Scotland",104,Scotland,3–1,3–1,UEFA Euro 2020
31,8 October 2021,"AEK Arena – Georgios Karapatakis, Larnaca, Cyprus",108,Cyprus,1–0,3–0,2022 FIFA World Cup qualification
32,11 November 2021,"National Stadium, Ta' Qali, Malta",110,Malta,1–0,7–1,2022 FIFA World Cup qualification
33,5 December 2022,"Al Janoub Stadium, Al Wakrah, Qatar",120,Japan,1–1,1–1,2022 FIFA World Cup
34,20 March 2025,"Stadion Poljud, Split, Croatia",141,France,2–0,2–0,2024–25 UEFA Nations League A
35,6 June 2025,"Estádio Algarve, Faro/Loulé, Portugal",143,Gibraltar,5–0,7–0,2026 FIFA World Cup qualification
36,9 June 2025,"Opus Arena, Osijek, Croatia",144,Czech Republic,3–1,5–1,2026 FIFA World Cup qualification
37,8 September 2025,"Stadion Maksimir, Zagreb, Croatia",146,Montenegro,4–0,4–0,2026 FIFA World Cup qualification
