# List of international goals scored by Ivan Rakitić
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,12 September 2007,"Estadi Comunal d'Andorra la Vella, Andorra la Vella, Andorra",2,Andorra,6–0,6–0,UEFA Euro 2008 qualification
2,20 August 2008,"Ljudski vrt, Maribor, Slovenia",12,Slovenia,1–1,3–2,Friendly
3,20 August 2008,"Ljudski vrt, Maribor, Slovenia",12,Slovenia,3–2,3–2,Friendly
4,15 October 2008,"Stadion Maksimir, Zagreb, Croatia",16,Andorra,1–0,4–0,2010 FIFA World Cup qualification
5,15 October 2008,"Stadion Maksimir, Zagreb, Croatia",16,Andorra,4–0,4–0,2010 FIFA World Cup qualification
6,11 February 2009,"Stadionul Steaua, Bucharest, Romania",17,Romania,1–1,2–1,Friendly
7,5 September 2009,"Stadion Maksimir, Zagreb, Croatia",21,Belarus,1–0,1–0,2010 FIFA World Cup qualification
8,23 May 2010,"Gradski Vrt Stadium, Osijek, Croatia",26,Wales,1–0,2–0,Friendly
9,12 October 2012,"Philip II National Arena, Skopje, Macedonia",47,Macedonia,2–1,2–1,2014 FIFA World Cup qualification
10,10 October 2015,"Stadion Maksimir, Zagreb, Croatia",74,Bulgaria,2–0,3–0,UEFA Euro 2016 qualification
11,4 June 2016,"Stadion Rujevica, Rijeka, Croatia",76,San Marino,7–0,10–0,Friendly
12,17 June 2016,"Stade Geoffroy-Guichard, Saint-Étienne, France",78,Czech Republic,2–0,2–2,UEFA Euro 2016
13,5 September 2016,"Stadion Maksimir, Zagreb, Croatia",81,Turkey,1–0,1–1,2018 FIFA World Cup qualification
14,27 March 2018,"AT&T Stadium, Arlington, United States",90,Mexico,1–0,1–0,Friendly
15,21 June 2018,"Nizhny Novgorod Stadium, Nizhny Novgorod, Russia",94,Argentina,3–0,3–0,2018 FIFA World Cup
