# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Zwolle,1992–93,Eerste Divisie,32,1,,,—,—,—,—,—,—,32,1
Cambuur,1993–94,Eredivisie,33,1,,,—,—,—,—,—,—,33,1
Cambuur,1994–95,Eerste Divisie,33,2,,,—,—,—,—,—,—,33,2
Cambuur,Total,Total,66,3,,,—,—,—,—,—,—,66,3
Willem II,1995–96,Eredivisie,19,1,,,—,—,—,—,—,—,19,1
PSV Eindhoven,1995–96,Eredivisie,14,1,4,0,—,—,—,—,—,—,18,1
PSV Eindhoven,1996–97,Eredivisie,33,7,2,0,—,—,4,0,1,0,40,7
PSV Eindhoven,1997–98,Eredivisie,29,4,5,0,—,—,5,0,1,0,40,4
PSV Eindhoven,Total,Total,76,12,11,0,—,—,9,0,2,0,98,12
Manchester United,1998–99,Premier League,30,1,7,0,0,0,13,0,1,0,51,1
Manchester United,1999–2000,Premier League,33,0,—,—,0,0,13,0,5,0,51,0
Manchester United,2000–01,Premier League,15,0,1,0,0,0,6,0,1,0,23,0
Manchester United,2001–02,Premier League,1,0,0,0,0,0,0,0,1,0,2,0
Manchester United,Total,Total,79,1,8,0,0,0,32,0,8,0,127,1
Lazio,2001–02,Serie A,13,1,—,—,—,—,5,0,—,—,18,1
Lazio,2002–03,Serie A,28,0,2,0,—,—,4,0,—,—,34,0
Lazio,2003–04,Serie A,29,2,6,0,—,—,7,1,—,—,42,3
Lazio,Total,Total,70,3,8,0,—,—,16,1,—,—,94,4
Milan,2004–05,Serie A,17,0,2,0,—,—,8,1,1,0,28,1
Milan,2005–06,Serie A,25,1,3,0,—,—,9,0,—,—,37,1
Milan,Total,Total,42,1,5,0,—,—,17,1,1,0,65,2
Ajax,2006–07,Eredivisie,25,1,4,1,—,—,11,0,1,0,41,2
Ajax,2007–08,Eredivisie,6,0,—,—,—,—,4,0,1,0,11,0
Ajax,Total,Total,31,1,4,1,—,—,15,0,2,0,52,2
Career total,Career total,Career total,415,23,36,1,0,0,89,2,13,0,553,26
