# List of international goals scored by Andrés Iniesta
No.,Date,Venue,Opponent,Score,Result,Competition
1,7 February 2007,"Old Trafford, Manchester, England",England,1–0,1–0,Friendly
2,28 March 2007,"Iberostar Stadium, Palma, Spain",Iceland,1–0,1–0,UEFA Euro 2008 qualifying
3,8 September 2007,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,1–1,1–1,UEFA Euro 2008 qualifying
4,17 November 2007,"Santiago Bernabéu Stadium, Madrid, Spain",Sweden,2–0,3–0,UEFA Euro 2008 qualifying
5,25 October 2008,"King Baudouin Stadium, Brussels, Belgium",Belgium,1–1,2–1,2010 FIFA World Cup qualification
6,25 June 2010,"Loftus Versfeld, Pretoria, South Africa",Chile,2–0,2–1,2010 FIFA World Cup
7,11 July 2010,"FNB Stadium, Johannesburg, South Africa",Netherlands,1–0,1–0,2010 FIFA World Cup Final
8,12 October 2010,"Hampden Park, Glasgow, Scotland",Scotland,2–0,3–2,UEFA Euro 2012 qualifying
9,2 September 2011,"kybunpark, St. Gallen, Switzerland",Chile,1–2,3–2,Friendly
10,29 February 2012,"La Rosaleda Stadium, Málaga, Spain",Venezuela,1–0,5–0,Friendly
11,30 May 2014,"Ramón Sánchez Pizjuán Stadium, Seville, Spain",Bolivia,2–0,2–0,Friendly
12,5 September 2015,"Carlos Tartiere Stadium, Oviedo, Spain",Slovakia,2–0,2–0,UEFA Euro 2016 qualifying
13,11 November 2017,"La Rosaleda Stadium, Málaga, Spain",Costa Rica,5–0,5–0,Friendly
