# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lierse,1974–75,First Division,15,1,2.0,3,—,—,—,—,17,4
Lierse,1975–76,First Division,29,12,3.0,1,—,—,—,—,32,13
Lierse,1976–77,First Division,34,12,2.0,1,2,1,—,—,38,14
Lierse,1977–78,First Division,32,14,,—,—,,3,3,39,19
Lierse,Total,Total,110,39,11.0,7,2,1,3,3,126,50
Club Brugge,1978–79,First Division,34,13,8.0,9,2,2,—,—,44,24
Club Brugge,1979–80,First Division,34,29,5.0,4,—,—,—,—,39,33
Club Brugge,1980–81,First Division,32,12,3.0,1,2,1,1,1,38,15
Club Brugge,1981–82,First Division,29,11,2.0,0,2,0,—,—,33,11
Club Brugge,1982–83,First Division,33,14,8.0,6,—,—,—,—,41,20
Club Brugge,1983–84,First Division,31,15,2.0,0,—,—,—,—,33,15
Club Brugge,1984–85,First Division,27,17,4.0,3,3,1,—,—,34,21
Club Brugge,1985–86,First Division,33,13,9.0,7,4,1,—,—,46,21
Club Brugge,1986–87,First Division,28,12,2.0,1,2,0,1,1,33,14
Club Brugge,1987–88,First Division,30,13,3.0,2,9,5,—,—,42,20
Club Brugge,1988–89,First Division,28,13,4.0,0,4,0,1,0,37,13
Club Brugge,1989–90,First Division,34,15,2.0,3,4,1,—,—,40,19
Club Brugge,1990–91,First Division,33,14,7.0,3,4,0,1,0,45,17
Club Brugge,Total,Total,406,191,59.0,39,36,11,6,2,505,243
Career total,Career total,Career total,516,230,70.0,46,38,12,9,5,631,293
