# List of international goals scored by Jay-Jay Okocha
No.,Date,Venue,Opponent,Score,Result,Competition
1,3 July 1993,"Lagos, Nigeria",Algeria,1–1,4–1,1994 World Cup qualifier
2,11 June 1995,"Boston, United States",United States,1–0,2–3,1995 US Cup
3,23 January 2000,"Lagos, Nigeria",Tunisia,1–0,4–2,2000 African Cup of Nations
4,23 January 2000,"Lagos, Nigeria",Tunisia,2–1,4–2,2000 African Cup of Nations
5,13 February 2000,"Lagos, Nigeria",Cameroon,2–2,2–2,2000 African Cup of Nations
6,17 June 2000,"Lagos, Nigeria",Sierra Leone,1–0,2–0,2002 World Cup qualifier
7,1 July 2001,"Omdurman, Sudan",Sudan,3–0,4–0,2002 World Cup qualifier
8,26 March 2002,"London, England",Paraguay,1–1,1–1,Friendly
9,26 July 2003,"Watford, England",Venezuela,1–0,1–0,Friendly
10,31 January 2004,"Monastir, Tunisia",South Africa,2–0,4–0,2004 African Cup of Nations
11,8 February 2004,"Monastir, Tunisia",Cameroon,1–1,2–1,2004 African Cup of Nations
12,11 February 2004,"Tunis, Tunisia",Tunisia,1–0,1–1,2004 African Cup of Nations
13,13 February 2004,"Monastir, Tunisia",Mali,1–0,2–1,2004 African Cup of Nations
14,18 June 2005,"Kano, Nigeria",Angola,1–0,1–1,2006 World Cup qualifier
