# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Toulon,1975–76,Division 2,23,1,,,–,–,23,1
Toulon,1976–77,Division 2,27,3,,,–,–,27,3
Toulon,1977–78,Division 2,26,6,,,–,–,26,6
Toulon,Total,Total,76,10,0.0,0.0,0,0,76,10
Lyon,1978–79,Division 1,36,3,,,–,–,36,3
Lyon,1979–80,Division 1,33,5,,,–,–,33,5
Lyon,1980–81,Division 1,35,7,,,–,–,35,7
Lyon,Total,Total,104,15,0.0,0.0,0,0,104,15
Bordeaux,1981–82,Division 1,27,1,,,1,0,28,1
Bordeaux,1982–83,Division 1,32,2,,,5,0,37,1
Bordeaux,1983–84,Division 1,32,1,,,2,0,34,1
Bordeaux,1984–85,Division 1,28,3,,,6,0,34,3
Bordeaux,1985–86,Division 1,32,2,3.0,1.0,2,0,37,3
Bordeaux,1986–87,Division 1,37,0,3.0,0.0,8,0,48,0
Bordeaux,1987–88,Division 1,30,1,,,5,0,35,1
Bordeaux,1988–89,Division 1,33,1,,,6,0,39,1
Bordeaux,Total,Total,251,11,6.0,1.0,35,0,292,12
Marseille,1989–90,Division 1,37,0,2.0,0.0,8,0,47,0
Marseille,1990–91,Division 1,19,0,1.0,0.0,5,1,25,1
Marseille,Total,Total,56,0,3.0,0.0,13,1,72,1
Total,Total,Total,487,36,9.0,1.0,48,1,544,38
