# Table 1
Club,Season,League Apps,League Goals,Cup Apps,Cup Goals,Glasgow Cup Apps,Glasgow Cup Goals,Glasgow Charity Cup Apps,Glasgow Charity Cup Goals,Total Apps,Total Goals
Celtic,1922–23,3,1,1,0,0,0,0,0,4,1
Clydebank (loan),1923–24,30,13,3,3,0,0,0,0,33,16
Celtic,1923–24,0,0,0,0,0,0,2,1,2,1
Celtic,1924–25,25,17,8,11,2,2,1,0,36,30
Celtic,1925–26,37,35,6,6,6,6,3,2,52,49
Celtic,1926–27,33,49,6,9,2,2,0,0,41,60
Celtic,1927–28,36,47,6,6,3,9,1,0,46,62
Celtic,1928–29,21,21,6,10,4,3,3,8,34,42
Celtic,1929–30,26,32,3,4,5,4,1,1,35,41
Celtic,1930–31,29,36,6,8,2,1,1,2,38,47
Celtic,1931–32,22,28,1,0,3,2,2,0,28,30
Celtic,1932–33,25,22,8,8,3,2,2,3,38,35
Celtic,1933–34,27,17,3,1,1,1,0,0,31,19
Celtic,1934–35,27,18,4,2,1,0,1,1,33,21
Celtic,1935–36,32,50,1,0,2,0,2,1,37,51
Celtic,1936–37,25,18,8,9,0,0,0,0,35,28
Celtic,1937–38,10,5,0,0,1,1,0,0,11,6
Career total,Career total,408,409,70,77,35,33,21,20,534,539
