# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1964–65,Eredivisie,10,4,0,0,—,—,—,—,10,4
Ajax,1965–66,Eredivisie,19,16,4,9,—,—,—,—,23,25
Ajax,1966–67,Eredivisie,30,33,5,5,6,3,—,—,41,41
Ajax,1967–68,Eredivisie,33,27,5,6,2,1,—,—,40,34
Ajax,1968–69,Eredivisie,29,24,3,3,10,6,1,1,43,34
Ajax,1969–70,Eredivisie,33,23,5,6,8,4,—,—,46,33
Ajax,1970–71,Eredivisie,25,21,6,5,6,1,—,—,37,27
Ajax,1971–72,Eredivisie,32,25,4,3,9,5,—,—,45,33
Ajax,1972–73,Eredivisie,32,17,0,0,6,3,4,3,42,23
Ajax,1973–74,Eredivisie,2,3,0,0,0,0,0,0,2,3
Ajax,Total,Total,245,193,32,37,47,23,5,4,329,257
Barcelona,1973–74,La Liga,26,16,12,8,0,0,—,—,38,24
Barcelona,1974–75,La Liga,30,7,12,7,8,0,—,—,50,14
Barcelona,1975–76,La Liga,29,6,10,3,9,2,—,—,48,11
Barcelona,1976–77,La Liga,30,14,9,6,7,5,—,—,46,25
Barcelona,1977–78,La Liga,28,5,7,1,10,5,—,—,45,11
Barcelona,Total,Total,143,48,50,25,34,12,—,—,227,85
Los Angeles Aztecs,1979,NASL,22,14,—,—,—,—,4,1,26,15
Washington Diplomats,1980,NASL,24,10,—,—,—,—,2,0,26,10
Levante,1980–81,Segunda División,10,2,0,0,—,—,—,—,10,2
Washington Diplomats,1981,NASL,5,2,—,—,—,—,—,—,5,2
Ajax,1981–82,Eredivisie,15,7,1,0,0,0,—,—,16,7
Ajax,1982–83,Eredivisie,21,7,7,2,2,0,—,—,30,9
Ajax,Total,Total,36,14,8,2,2,0,—,—,46,16
Feyenoord,1983–84,Eredivisie,33,11,7,1,4,1,—,—,44,13
Career total,Career total,Career total,518,294,97,65,87,36,11,5,713,400
