# List of international goals scored by Johan Cruyff
No.,Date,Venue,Opponent,Score,Result,Competition
1,7 September 1966,"Rotterdam, Netherlands",Hungary,2–0,2–2,UEFA Euro 1968 qualifying
2,13 September 1967,"Amsterdam, Netherlands",East Germany,1–0,1–0,UEFA Euro 1968 qualifying
3,26 March 1969,"Rotterdam, Netherlands",Luxembourg,1–0,4–0,1970 FIFA World Cup qualification
4,2 December 1970,"Amsterdam, Netherlands",Romania,1–0,2–0,Friendly
5,2 December 1970,"Amsterdam, Netherlands",Romania,2–0,2–0,Friendly
6,24 February 1971,"Rotterdam, Netherlands",Luxembourg,3–0,6–0,UEFA Euro 1972 qualifying
7,24 February 1971,"Rotterdam, Netherlands",Luxembourg,4–0,6–0,UEFA Euro 1972 qualifying
8,17 November 1971,"Eindhoven, Netherlands",Luxembourg,1–0,8–0,UEFA Euro 1972 qualifying
9,17 November 1971,"Eindhoven, Netherlands",Luxembourg,7–0,8–0,UEFA Euro 1972 qualifying
10,17 November 1971,"Eindhoven, Netherlands",Luxembourg,8–0,8–0,UEFA Euro 1972 qualifying
11,1 December 1971,"Amsterdam, Netherlands",Scotland,1–0,2–1,Friendly
12,16 February 1972,"Athens, Greece",Greece,3–0,5–0,Friendly
13,16 February 1972,"Athens, Greece",Greece,5–0,5–0,Friendly
14,30 August 1972,"Prague, Czechoslovakia",Czechoslovakia,1–0,2–1,Friendly
15,1 November 1972,"Rotterdam, Netherlands",Norway,4–0,9–0,1974 FIFA World Cup qualification
16,1 November 1972,"Rotterdam, Netherlands",Norway,8–0,9–0,1974 FIFA World Cup qualification
17,2 May 1973,"Amsterdam, Netherlands",Spain,3–2,3–2,Friendly
18,22 August 1973,"Amsterdam, Netherlands",Iceland,2–0,5–0,1974 FIFA World Cup qualification
19,22 August 1973,"Amsterdam, Netherlands",Iceland,5–0,5–0,1974 FIFA World Cup qualification
20,29 August 1973,"Deventer, Netherlands",Iceland,2–0,8–1,1974 FIFA World Cup qualification
21,29 August 1973,"Deventer, Netherlands",Iceland,4–0,8–1,1974 FIFA World Cup qualification
22,12 September 1973,"Oslo, Norway",Norway,1–0,2–1,1974 FIFA World Cup qualification
23,26 June 1974,"Gelsenkirchen, West Germany",Argentina,1–0,4–0,1974 FIFA World Cup
24,26 June 1974,"Gelsenkirchen, West Germany",Argentina,4–0,4–0,1974 FIFA World Cup
25,3 July 1974,"Dortmund, Germany",Brazil,2–0,2–0,1974 FIFA World Cup
26,4 September 1974,"Stockholm, Sweden",Sweden,1–0,5–1,Friendly
27,25 September 1974,"Helsinki, Finland",Finland,1–1,3–1,UEFA Euro 1976 qualifying
28,25 September 1974,"Helsinki, Finland",Finland,2–1,3–1,UEFA Euro 1976 qualifying
29,20 November 1974,"Rotterdam, Netherlands",Italy,2–1,3–1,UEFA Euro 1976 qualifying
30,20 November 1974,"Rotterdam, Netherlands",Italy,3–1,3–1,UEFA Euro 1976 qualifying
31,22 May 1976,"Brussels, Belgium",Belgium,2–1,2–1,UEFA Euro 1976 qualifying
32,13 October 1976,"Rotterdam, Netherlands",Northern Ireland,2–1,2–2,1978 FIFA World Cup qualification
33,26 March 1977,"Antwerp, Belgium",Belgium,2–0,2–0,1978 FIFA World Cup qualification
