# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
RCH,1968–69,Eerste Divisie,34,0,1,0,–,–,–,–,–,–,35,0
RCH,1969–70,Eerste Divisie,34,1,1,0,–,–,–,–,–,–,35,1
RCH,Total,Total,68,1,2,0,0,0,0,0,0,0,70,1
Ajax,1970–71,Eredivisie,33,1,6,2,–,–,9,2,–,–,48,5
Ajax,1971–72,Eredivisie,28,10,5,2,–,–,8,0,–,–,41,12
Ajax,1972–73,Eredivisie,32,7,1,0,–,–,7,0,3,1,43,8
Ajax,1973–74,Eredivisie,31,14,4,0,–,–,2,0,2,1,37,15
Ajax,Total,Total,124,32,16,4,0,0,24,2,5,2,169,40
Barcelona,1974–75,La Liga,27,7,0,0,–,–,7,1,–,–,34,8
Barcelona,1975–76,La Liga,32,12,0,0,–,–,9,6,–,–,41,18
Barcelona,1976–77,La Liga,33,8,0,0,–,–,8,1,–,–,41,9
Barcelona,1977–78,La Liga,18,2,2,0,–,–,7,1,–,–,27,3
Barcelona,1978–79,La Liga,30,6,1,0,–,–,9,0,–,–,40,6
Barcelona,Total,Total,140,35,3,0,0,0,40,9,0,0,183,44
New York Cosmos,1979,NASL,13,4,,,,,,,,,13,4
New York Cosmos,1980,NASL,17,4,,,,,,,,,17,4
New York Cosmos,1981,NASL,6,2,,,,,,,,,6,2
New York Cosmos,1982,NASL,17,0,,,,,,,,,17,0
New York Cosmos,1983,NASL,23,2,,,,,,,,,23,2
New York Cosmos,1984,NASL,18,5,,,,,,,,,18,5
New York Cosmos,Total,Total,94,17,,,,,,,,,,
Groningen,1984–85,Eredivisie,7,0,0,0,–,–,0,0,–,–,7,0
South Florida Sun,1985,USL,1,1,,,,,,,,,1,1
Kansas City Comets,1985–86,MISL,23,1,,,,,,,,,23,1
Löwenbrau,1986–87,,,,,,,,,,,,,
Baar,1987–88,,9,1,,,,,,,,,9,1
Baar,1988–89,,13,4,,,,,,,,,13,4
Baar,1989–90,,1,0,,,,,,,,,1,0
Baar,Total,Total,23,5,,,,,,,,,23,5
Zug,1990–91,,1,0,,,,,,,,,,
Career total,Career total,Career total,450+,91+,21+,4+,,,64+,11+,5+,2+,540+,108+
