# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Watford,1981–82,Second Division,36,13,3,0,5,1,0,0,44,14
Watford,1982–83,First Division,42,10,4,1,3,0,4,2,53,13
Watford,1983–84,First Division,39,11,7,4,2,1,6,0,54,16
Watford,1984–85,First Division,40,12,2,0,5,3,0,0,47,15
Watford,1985–86,First Division,39,9,8,3,3,1,0,0,50,13
Watford,1986–87,First Division,37,10,7,3,3,1,1,0,48,14
Watford,Total,Total,233,65,31,11,21,7,11,2,296,85
Liverpool,1987–88,First Division,38,15,7,2,3,0,0,0,48,17
Liverpool,1988–89,First Division,33,8,6,3,3,2,0,0,42,13
Liverpool,1989–90,First Division,34,22,8,5,2,1,0,0,44,28
Liverpool,1990–91,First Division,35,16,7,1,2,0,0,0,44,17
Liverpool,1991–92,First Division,12,1,4,3,0,0,1,0,17,4
Liverpool,1992–93,Premier League,27,5,2,0,2,0,0,0,31,5
Liverpool,1993–94,Premier League,26,3,2,0,2,0,0,0,30,3
Liverpool,1994–95,Premier League,38,7,6,2,6,0,0,0,50,9
Liverpool,1995–96,Premier League,36,3,7,0,3,0,4,0,50,3
Liverpool,1996–97,Premier League,35,4,2,0,3,0,7,3,47,7
Liverpool,Total,Total,314,84,51,16,26,3,12,3,403,106
Newcastle United,1997–98,Premier League,26,6,5,0,3,0,5,1,39,7
Newcastle United,1998–99,Premier League,1,0,0,0,0,0,0,0,1,0
Newcastle United,Total,Total,27,6,5,0,3,0,5,1,40,7
Charlton Athletic,1998–99,Premier League,12,0,0,0,0,0,0,0,12,0
Career total,Career total,Career total,586,155,87,27,50,10,28,6,751,198
