# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vålerenga,1997,Norwegian First Division,10,5,4,5,—,—,—,—,—,—,14,10
Vålerenga,1998,Tippeligaen,18,7,0,0,—,—,4,3,—,—,22,10
Vålerenga,1999,Tippeligaen,15,7,3,1,—,—,4,2,—,—,22,10
Vålerenga,Total,Total,43,19,7,6,–,–,8,5,—,—,58,30
Rosenborg,1999,Tippeligaen,7,10,2,0,—,—,8,4,—,—,17,14
Rosenborg,2000,Tippeligaen,10,9,0,0,—,—,4,1,—,—,14,10
Rosenborg,Total,Total,17,19,2,0,–,–,12,5,—,—,31,24
Valencia,2000–01,La Liga,37,11,2,0,—,—,18,3,—,—,57,14
Valencia,2001–02,La Liga,15,1,1,0,—,—,8,0,—,—,24,1
Valencia,2002–03,La Liga,32,8,1,0,—,—,13,5,1,0,47,13
Valencia,Total,Total,84,20,4,0,—,—,39,8,1,0,128,28
Roma (loan),2003–04,Serie A,20,6,3,1,—,—,6,1,—,—,29,8
Beşiktaş,2004–05,Süper Lig,24,13,1,0,—,—,3,1,—,—,28,14
Lyon,2005–06,Ligue 1,26,8,2,0,1,0,10,4,1,3,40,15
Lyon,2006–07,Ligue 1,9,1,0,0,1,0,2,1,1,0,13,2
Lyon,Total,Total,35,9,2,0,2,0,12,5,2,3,53,17
Aston Villa,2006–07,Premier League,11,3,0,0,0,0,—,—,—,—,11,3
Aston Villa,2007–08,Premier League,32,13,1,0,0,0,—,—,—,—,33,13
Aston Villa,2008–09,Premier League,27,11,2,1,1,0,4,3,—,—,34,15
Aston Villa,2009–10,Premier League,33,10,5,6,3,0,1,1,—,—,42,17
Aston Villa,2010–11,Premier League,10,0,0,0,1,0,0,0,—,—,11,0
Aston Villa,Total,Total,113,37,8,7,5,0,5,4,—,—,131,48
Stoke City (loan),2010–11,Premier League,10,1,3,1,0,0,—,—,—,—,13,2
West Ham United,2011–12,Championship,19,2,1,0,1,0,—,—,—,—,21,2
Career total,Career total,Career total,365,126,31,15,8,0,85,29,3,3,492,173
