# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Chelsea,1998–99,Premier League,2,0,3,0,1,0,1,0,—,—,7,0
Chelsea,1999–2000,Premier League,4,0,4,1,1,0,0,0,—,—,9,1
Chelsea,2000–01,Premier League,22,1,3,0,1,0,0,0,0,0,26,1
Chelsea,2001–02,Premier League,33,1,5,2,5,0,4,1,—,—,47,4
Chelsea,2002–03,Premier League,20,3,5,2,3,0,1,1,—,—,29,6
Chelsea,2003–04,Premier League,33,2,3,1,2,0,13,0,—,—,51,3
Chelsea,2004–05,Premier League,36,3,1,1,5,0,11,4,—,—,53,8
Chelsea,2005–06,Premier League,36,4,4,2,1,1,8,0,1,0,50,7
Chelsea,2006–07,Premier League,28,1,4,0,2,0,10,0,1,0,45,1
Chelsea,2007–08,Premier League,23,1,2,0,2,0,10,0,0,0,37,1
Chelsea,2008–09,Premier League,35,1,4,0,1,0,11,2,—,—,51,3
Chelsea,2009–10,Premier League,37,2,5,1,1,0,8,0,1,0,52,3
Chelsea,2010–11,Premier League,33,3,3,0,1,0,8,1,1,0,46,4
Chelsea,2011–12,Premier League,31,6,4,0,1,0,8,1,—,—,44,7
Chelsea,2012–13,Premier League,14,4,3,1,1,0,8,1,1,0,27,6
Chelsea,2013–14,Premier League,34,2,0,0,1,0,11,0,1,0,47,2
Chelsea,2014–15,Premier League,38,5,0,0,4,1,7,2,—,—,49,8
Chelsea,2015–16,Premier League,24,1,2,0,2,0,4,0,1,0,33,1
Chelsea,2016–17,Premier League,9,1,3,0,2,0,—,—,—,—,14,1
Chelsea,Total,Total,492,41,58,11,37,2,123,13,7,0,717,67
Nottingham Forest (loan),1999–2000,First Division,6,0,—,—,—,—,—,—,—,—,6,0
Aston Villa,2017–18,Championship,32,1,1,0,0,0,—,—,3,0,36,1
Career total,Career total,Career total,530,42,59,11,37,2,123,13,10,0,759,68
