# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
Farbenlutz,1931,VAFÖ,2,2,—,—,—,—,2,2
Rapid Wien Amateur,1931–32,,—,—,2,3,—,—,2,3
Rapid Wien,1931–32,1,8,10,3,3,—,—,11,13
Rapid Wien,1932–33,1,16,11,2,6,—,—,18,17
Rapid Wien,1933–34,1,22,29,5,5,3,1,30,35
Rapid Wien,1934–35,1,3,4,—,—,—,—,3,4
Rapid Wien,Total,Total,49,54,12,17,3,1,64,72
Admira Wien,1935–36,1,15,8,3,2,2,2,20,12
Admira Wien,1936–37,1,11,10,—,—,—,—,11,10
Admira Wien,Total,Total,26,18,3,2,2,2,31,22
Slavia Prague,1936–37,1,—,—,1,4,—,—,1,4
Slavia Prague,1937–38,1,19,26,0,0,1,4,20,30
Slavia Prague,1938–39,1,20,29,2,2,8,10,30,41
Slavia Prague,1939–40,1,22,50,3,5,1,1,26,56
Slavia Prague,1940–41,1,22,38,5,11,4,7,31,56
Slavia Prague,1941–42,1,22,45,5,10,3,8,30,63
Slavia Prague,1942–43,1,20,39,1,0,3,7,24,46
Slavia Prague,1943–44,1,26,57,1,3,5,16,32,76
Slavia Prague,1944–45,1,9,16,6,20,—,—,15,36
Slavia Prague,1945–46,1,16,31,—,—,1,1,17,32
Slavia Prague,1946–47,1,23,44,—,—,1,1,24,45
Slavia Prague,1947–48,1,13,20,—,—,—,—,13,20
Slavia Prague,1948–49,1,7,21,—,—,—,—,7,21
Slavia Prague,Total,Total,219,416,24,55,27,55,270,526
Sokol Vítkovice Železárny,1949,2,17,44,—,—,—,—,17,44
Sokol Vítkovice Železárny,1950,1,23,22,—,—,—,—,23,22
Sokol Vítkovice Železárny,1951,1,18,8,—,—,—,—,18,8
Sokol Vítkovice Železárny,Total,Total,58,74,0,0,0,0,58,74
FC Hradec Králové,1952,2,26,53,4,7,—,—,30,60
Dynamo Praha,1953,1,10,7,—,—,—,—,10,7
Dynamo Praha,1954,1,14,11,—,—,—,—,14,11
Dynamo Praha,1955,1,8,4,—,—,—,—,8,4
Dynamo Praha,Total,Total,32,22,0,0,0,0,32,22
Slovan Liberec,1957,3,1,0,—,—,—,—,1,0
FC Zbrojovka Brno,1957,4,4,2,—,—,—,—,4,2
Career total,Career total,Career total,417,641,43,81,32,58,492,780
