# List of international goals scored by Josef Bican
No. Austria goals,Date Austria goals,Venue Austria goals,Opponent Austria goals,Score Austria goals,Result Austria goals,Competition Austria goals
1,10 December 1933,"Olympic Stadium, Amsterdam, Netherlands",Netherlands,1–0,1–0,Friendly
2,11 February 1934,"Charmilles Stadium, Geneva, Switzerland",Switzerland,1–0,3–2,1933–35 Dr. Gero Cup
3,11 February 1934,"Charmilles Stadium, Geneva, Switzerland",Switzerland,3–2,3–2,1933–35 Dr. Gero Cup
4,15 April 1934,"Hohe Warte Stadium, Vienna, Austria",Hungary,4–2,5–2,Friendly
5,15 April 1934,"Hohe Warte Stadium, Vienna, Austria",Hungary,5–2,5–2,Friendly
6,27 May 1934,"Stadio Benito Mussolini, Turin, Italy",France,3–1,3–2,1934 FIFA World Cup
7,6 October 1935,"Praterstadion, Vienna, Austria",Hungary,1–1,4–4,1933–35 Dr. Gero Cup
8,6 October 1935,"Praterstadion, Vienna, Austria",Hungary,2–2,4–4,1933–35 Dr. Gero Cup
9,6 October 1935,"Praterstadion, Vienna, Austria",Hungary,3–4,4–4,1933–35 Dr. Gero Cup
10,19 January 1936,"Estadio Metropolitano de Madrid, Madrid, Spain",Spain,3–3,5–4,Friendly
11,26 January 1936,"Campo da Constituição, Porto, Portugal",Portugal,3–1,3–2,Friendly
12,22 March 1936,"Praterstadion, Vienna, Austria",Czechoslovakia,1–1,1–1,1936–37 Dr. Gero Cup
13,5 April 1936,"Praterstadion, Vienna, Austria",Hungary,1–1,3–5,Friendly
14,5 April 1936,"Praterstadion, Vienna, Austria",Hungary,2–3,3–5,Friendly
Czechoslovakia goals,Czechoslovakia goals,Czechoslovakia goals,Czechoslovakia goals,Czechoslovakia goals,Czechoslovakia goals,Czechoslovakia goals
1,7 August 1938,"Råsunda Stadium, Stockholm, Sweden",Sweden,2–0,6–2,Friendly
2,7 August 1938,"Råsunda Stadium, Stockholm, Sweden",Sweden,3–0,6–2,Friendly
3,7 August 1938,"Råsunda Stadium, Stockholm, Sweden",Sweden,5–2,6–2,Friendly
4,28 August 1938,"Stadion Concordije, Zagreb, Kingdom of Yugoslavia",Yugoslavia,2–0,3–1,1937–38 Eduard Benes Cup
5,4 December 1938,"AC Sparta Stadion, Prague, Czechoslovakia",Romania,1–2,6–2,1937-38 Eduard Benes Cup
6,4 December 1938,"AC Sparta Stadion, Prague, Czechoslovakia",Romania,3–2,6–2,1937-38 Eduard Benes Cup
7,4 December 1938,"AC Sparta Stadion, Prague, Czechoslovakia",Romania,4–2,6–2,1937-38 Eduard Benes Cup
8,4 December 1938,"AC Sparta Stadion, Prague, Czechoslovakia",Romania,6–2,6–2,1937-38 Eduard Benes Cup
9,11 May 1947,"AC Sparta Stadion, Prague, Czechoslovakia",Yugoslavia,1–0,3–1,Friendly
10,11 May 1947,"AC Sparta Stadion, Prague, Czechoslovakia",Yugoslavia,3–1,3–1,Friendly
11,31 August 1947,"AC Sparta Stadion, Prague, Czechoslovakia",Poland,1–0,6–3,Friendly
12,31 August 1947,"AC Sparta Stadion, Prague, Czechoslovakia",Poland,2–0,6–3,Friendly
Bohemia and Moravia goals,Bohemia and Moravia goals,Bohemia and Moravia goals,Bohemia and Moravia goals,Bohemia and Moravia goals,Bohemia and Moravia goals,Bohemia and Moravia goals
1,12 November 1939,"Hermann Göring Stadium, Wrocław, Nazi Germany",Germany,1–0,4–4,Friendly
2,12 November 1939,"Hermann Göring Stadium, Wrocław, Nazi Germany",Germany,3–0,4–4,Friendly
3,12 November 1939,"Hermann Göring Stadium, Wrocław, Nazi Germany",Germany,4–2,4–4,Friendly
