# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Danubio,2012–13,Uruguayan Primera División,16,0,0,0,—,—,—,—,16,0
Atlético Madrid,2013–14,La Liga,1,0,1,0,0,0,—,—,2,0
Atlético Madrid,2014–15,La Liga,20,1,4,1,4,0,—,—,28,2
Atlético Madrid,2015–16,La Liga,27,1,2,0,8,0,—,—,37,1
Atlético Madrid,2016–17,La Liga,17,0,6,1,6,0,—,—,29,1
Atlético Madrid,2017–18,La Liga,23,1,4,1,11,0,—,—,38,2
Atlético Madrid,2018–19,La Liga,21,0,2,0,5,2,1,0,29,2
Atlético Madrid,2019–20,La Liga,21,0,0,0,5,0,1,0,27,0
Atlético Madrid,2020–21,La Liga,21,0,1,0,4,1,—,—,26,1
Atlético Madrid,2021–22,La Liga,24,1,1,0,7,0,1,0,33,1
Atlético Madrid,2022–23,La Liga,28,2,3,0,5,0,—,—,36,2
Atlético Madrid,2023–24,La Liga,22,0,3,0,7,0,1,0,33,0
Atlético Madrid,2024–25,La Liga,27,0,3,0,8,1,1,0,39,1
Atlético Madrid,Total,Total,252,6,30,3,70,4,5,0,357,13
Career total,Career total,Career total,268,6,30,3,70,4,5,0,373,13
