# List of international goals scored by Antoine Griezmann
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,1 June 2014,"Allianz Riviera, Nice, France",3,Paraguay,1–0,1–1,Friendly,
2,8 June 2014,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",4,Jamaica,7–0,8–0,Friendly,
3,8 June 2014,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",4,Jamaica,8–0,8–0,Friendly,
4,14 October 2014,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",12,Armenia,3–0,3–0,Friendly,
5,14 November 2014,"Roazhon Park, Rennes, France",13,Albania,1–1,1–1,Friendly,
6,8 October 2015,"Allianz Riviera, Nice, France",21,Armenia,1–0,4–0,Friendly,
7,25 March 2016,"Amsterdam Arena, Amsterdam, Netherlands",25,Netherlands,1–0,3–2,Friendly,
8,15 June 2016,"Stade Vélodrome, Marseille, France",29,Albania,1–0,2–0,UEFA Euro 2016,
9,26 June 2016,"Parc Olympique Lyonnais, Décines-Charpieu, France",31,Republic of Ireland,1–1,2–1,UEFA Euro 2016,
10,26 June 2016,"Parc Olympique Lyonnais, Décines-Charpieu, France",31,Republic of Ireland,2–1,2–1,UEFA Euro 2016,
11,3 July 2016,"Stade de France, Saint-Denis, France",32,Iceland,4–0,5–2,UEFA Euro 2016,
12,7 July 2016,"Stade Vélodrome, Marseille, France",33,Germany,1–0,2–0,UEFA Euro 2016,
13,7 July 2016,"Stade Vélodrome, Marseille, France",33,Germany,2–0,2–0,UEFA Euro 2016,
14,7 October 2016,"Stade de France, Saint-Denis, France",37,Bulgaria,3–1,4–1,2018 FIFA World Cup qualification,
15,25 March 2017,"Stade Josy Barthel, Luxembourg City, Luxembourg",40,Luxembourg,2–1,3–1,2018 FIFA World Cup qualification,
16,2 June 2017,"Roazhon Park, Rennes, France",42,Paraguay,5–0,5–0,Friendly,
17,31 August 2017,"Stade de France, Saint-Denis, France",44,Netherlands,1–0,4–0,2018 FIFA World Cup qualification,
18,10 October 2017,"Stade de France, Saint-Denis, France",47,Belarus,1–0,2–1,2018 FIFA World Cup qualification,
19,10 November 2017,"Stade de France, Saint-Denis, France",48,Wales,1–0,2–0,Friendly,
20,1 June 2018,"Allianz Riviera, Nice, France",53,Italy,2–0,3–1,Friendly,
21,16 June 2018,"Kazan Arena, Kazan, Russia",55,Australia,1–0,2–1,2018 FIFA World Cup,
22,30 June 2018,"Kazan Arena, Kazan, Russia",58,Argentina,1–0,4–3,2018 FIFA World Cup,
23,6 July 2018,"Nizhny Novgorod Stadium, Nizhny Novgorod, Russia",59,Uruguay,2–0,2–0,2018 FIFA World Cup,
24,15 July 2018,"Luzhniki Stadium, Moscow, Russia",61,Croatia,2–1,4–2,2018 FIFA World Cup,
25,16 October 2018,"Stade de France, Saint-Denis, France",65,Germany,1–1,2–1,2018–19 UEFA Nations League A,
26,16 October 2018,"Stade de France, Saint-Denis, France",65,Germany,2–1,2–1,2018–19 UEFA Nations League A,
27,22 March 2019,"Zimbru Stadium, Chișinău, Moldova",68,Moldova,1–0,4–1,UEFA Euro 2020 qualification,
28,25 March 2019,"Stade de France, Saint-Denis, France",69,Iceland,4–0,4–0,UEFA Euro 2020 qualification,
29,2 June 2019,"Stade de la Beaujoire, Nantes, France",70,Bolivia,2–0,2–0,Friendly,
30,17 November 2019,"Arena Kombëtare, Tirana, Albania",78,Albania,2–0,2–0,UEFA Euro 2020 qualification,
31,8 September 2020,"Stade de France, Saint-Denis, France",80,Croatia,1–1,4–2,2020–21 UEFA Nations League A,
32,7 October 2020,"Stade de France, Saint-Denis, France",81,Ukraine,7–1,7–1,Friendly,
33,14 October 2020,"Stadion Maksimir, Zagreb, Croatia",83,Croatia,1–0,2–1,2020–21 UEFA Nations League A,
34,24 March 2021,"Stade de France, Saint-Denis, France",87,Ukraine,1–0,1–1,2022 FIFA World Cup qualification,
35,31 March 2021,"Stadion Grbavica, Sarajevo, Bosnia and Herzegovina",89,Bosnia and Herzegovina,1–0,1–0,2022 FIFA World Cup qualification,
36,2 June 2021,"Allianz Riviera, Nice, France",90,Wales,2–0,3–0,Friendly,
37,8 June 2021,"Stade de France, Saint-Denis, France",91,Bulgaria,1–0,3–0,Friendly,
38,19 June 2021,"Puskás Aréna, Budapest, Hungary",93,Hungary,1–1,1–1,UEFA Euro 2020,
39,1 September 2021,"Stade de la Meinau, Strasbourg, France",96,Bosnia and Herzegovina,1–1,1–1,2022 FIFA World Cup qualification,
40,7 September 2021,"Parc Olympique Lyonnais, Décines-Charpieu, France",98,Finland,1–0,2–0,2022 FIFA World Cup qualification,
41,7 September 2021,"Parc Olympique Lyonnais, Décines-Charpieu, France",98,Finland,2–0,2–0,2022 FIFA World Cup qualification,
42,13 November 2021,"Parc des Princes, Paris, France",101,Kazakhstan,7–0,8–0,2022 FIFA World Cup qualification,
43,24 March 2023,"Stade de France, Saint-Denis, France",118,Netherlands,1–0,4–0,UEFA Euro 2024 qualification,
44,12 September 2023,"Signal Iduna Park, Dortmund, Germany",123,Germany,1–2,1–2,Friendly,
