# List of international goals scored by Abedi Pele
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,17 February 1982,"Cotonou, Benin",Niger,—,2-2,1982 West African Nations Cup,
2,7 July 1982,"Kuala Lumpur, Malaysia",Singapore,—,3-0,1982 Merdeka Tournament,
3,28 April 1983,"Accra, Ghana",Libya,1-0,1-0,Friendly,
4,14 April 1985,"Stade du 28 Septembre, Conakry, Guinea",Guinea,—,4-1,1986 African Cup of Nations qualification,
5,26 February 1986,"Accra, Ghana",Liberia,—,3-0,1986 West African Nations Cup,
6,2 March 1986,"Accra, Ghana",Togo,1-0,1-0,1986 West African Nations Cup,
7,15 January 1992,"Stade Aline Sitoe Diatta, Ziguinchor, Senegal",Zambia,1-0,1-0,1992 African Cup of Nations,
8,20 January 1992,"Stade de l'Amitie, Dakar, Senegal",Congo,2-1,2-1,1992 African Cup of Nations,
9,23 January 1992,"Stade de l'Amitie, Dakar, Senegal",Nigeria,1-1,2-1,1992 African Cup of Nations,
10,31 January 1993,"Baba Yara Stadium, Kumasi, Ghana",Burundi,1-0,1-0,1994 FIFA World Cup qualification,
11,25 July 1993,"Samuel Kanyon Doe Sports Complex, Monrovia, Liberia",Liberia,—,2-0,1994 African Cup of Nations qualification,
12,25 February 1995,"Ullevaal Stadion, Oslo, Norway",Norway,1-1,2-3,Friendly,
13,25 February 1995,"Ullevaal Stadion, Oslo, Norway",Norway,2-3,2-3,Friendly,
14,12 November 1995,"Accra Sports Stadium, Accra, Ghana",Sierra Leone,2-0,2-0,Friendly,
15,5 January 1996,"Prince Abdullah Al-Faisal Sports City, Jeddah, Saudi Arabia",Saudi Arabia,1-0,1-1,Friendly,
16,14 January 1996,"EPRU Stadium, Port Elizabeth, South Africa",Ivory Coast,2-0,2-0,1996 African Cup of Nations,
17,19 January 1996,"EPRU Stadium, Port Elizabeth, South Africa",Tunisia,1-0,2-1,1996 African Cup of Nations,
18,10 November 1996,"Stade Omar Bongo, Libreville, Gabon",Gabon,1-1,1-1,1998 FIFA World Cup qualification,
19,13 July 1997,"Accra Sports Stadium, Accra, Ghana",Zimbabwe,1-0,2-1,1998 FIFA World Cup qualification,
