# List of international goals scored by José Águas
No.,Date,Venue,Opponent,Score,Result,Competition
1,27 September 1953,"Ernst-Happel-Stadion, Wien, Austria",Austria,1–5,1–9,1954 FIFA World Cup qualification
2,22 November 1953,"Estádio do Jamor, Lisbon, Portugal",South Africa,2–0,3–1,Friendly
3,22 May 1955,"Estádio das Antas, Porto, Portugal",England,1–1,3–1,Friendly
4,22 May 1955,"Estádio das Antas, Porto, Portugal",England,3–1,3–1,Friendly
5,20 November 1955,"Estádio do Jamor, Lisbon, Portugal",Sweden,1–1,2–6,Friendly
6,20 November 1955,"Estádio do Jamor, Lisbon, Portugal",Sweden,2–4,2–6,Friendly
7,23 December 1955,"Muhammad Ali Stadium, Cairo, Egypt",Egypt,1–0,4–0,Friendly
8,23 December 1955,"Muhammad Ali Stadium, Cairo, Egypt",Egypt,4–0,4–0,Friendly
9,9 June 1956,"Estádio do Jamor, Lisbon, Portugal",Hungary,1–0,2–2,Friendly
10,19 March 1961,"Estádio do Jamor, Lisbon, Portugal",Luxembourg,1–0,6–0,1962 FIFA World Cup qualification
11,21 May 1961,"Estádio do Jamor, Lisbon, Portugal",England,1–0,1–1,1962 FIFA World Cup qualification
