# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Real Madrid Castilla,2006–07,Segunda División,39,9,—,—,—,—,—,—,—,—,39,9
Valencia,2007–08,La Liga,24,5,8,4,—,—,1,0,—,—,33,9
Valencia,2008–09,La Liga,37,11,2,1,—,—,6,1,2,1,47,14
Valencia,2009–10,La Liga,35,9,2,0,—,—,14,5,—,—,51,14
Valencia,2010–11,La Liga,33,8,3,0,—,—,7,1,—,—,43,9
Valencia,Total,Total,129,33,15,5,—,—,28,7,2,1,174,46
Chelsea,2011–12,Premier League,34,6,7,4,1,0,12,2,—,—,54,12
Chelsea,2012–13,Premier League,35,12,6,1,5,2,14,4,4,1,64,20
Chelsea,2013–14,Premier League,13,0,0,0,2,1,2,0,0,0,17,1
Chelsea,Total,Total,82,18,13,5,8,3,28,6,4,1,135,33
Manchester United,2013–14,Premier League,15,6,—,—,—,—,—,—,—,—,15,6
Manchester United,2014–15,Premier League,33,9,2,1,0,0,—,—,—,—,35,10
Manchester United,2015–16,Premier League,38,6,4,3,1,0,11,1,—,—,54,10
Manchester United,2016–17,Premier League,25,6,3,0,3,2,10,2,1,0,42,10
Manchester United,2017–18,Premier League,28,3,5,0,1,0,6,0,0,0,40,3
Manchester United,2018–19,Premier League,22,3,3,1,1,1,6,1,—,—,32,6
Manchester United,2019–20,Premier League,19,0,4,1,3,0,11,2,—,—,37,3
Manchester United,2020–21,Premier League,9,1,1,0,2,2,6,0,—,—,18,3
Manchester United,2021–22,Premier League,7,0,1,0,1,0,3,0,—,—,12,0
Manchester United,Total,Total,196,34,23,6,12,5,53,6,1,0,285,51
Galatasaray,2022–23,Süper Lig,16,3,2,0,—,—,—,—,—,—,18,3
Vissel Kobe,2023,J1 League,1,0,—,—,—,—,—,—,—,—,1,0
Western Sydney Wanderers,2024–25,A-League,23,1,0,0,—,—,—,—,—,—,23,1
Melbourne Victory,2025–26,A-League,0,0,0,0,—,—,—,—,—,—,0,0
Career total,Career total,Career total,486,98,53,16,20,8,109,19,7,2,675,143
