# Appearances and goals by club, season and competition
Club,Season,League,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Boca Juniors,1996–97,Argentine Primera División,22,4,,,,,22,4
Boca Juniors,1997–98,Argentine Primera División,19,0,,,2.0,0.0,21,0
Boca Juniors,1998–99,Argentine Primera División,37,10,,,5.0,0.0,42,10
Boca Juniors,1999–2000,Argentine Primera División,24,4,,,16.0,3.0,40,7
Boca Juniors,2000–01,Argentine Primera División,27,10,,,14.0,3.0,41,13
Boca Juniors,2001–02,Argentine Primera División,22,10,,,6.0,0.0,28,10
Boca Juniors,Total,Total,151,38,,,43.0,6.0,194,44
Barcelona,2002–03,La Liga,30,3,1.0,1.0,11.0,2.0,42,6
Villarreal (loan),2003–04,La Liga,33,8,3.0,1.0,12.0,4.0,48,13
Villarreal (loan),2004–05,La Liga,35,15,0.0,0.0,11.0,2.0,46,17
Villarreal,2005–06,La Liga,25,12,1.0,0.0,12.0,2.0,38,14
Villarreal,2006–07,La Liga,13,1,0.0,0.0,0.0,0.0,13,1
Villarreal,Total,Total,106,36,4.0,1.0,35.0,8.0,145,45
Boca Juniors (loan),2007,Argentine Primera División,15,2,,,11.0,8.0,26,10
Boca Juniors,2007–08,Argentine Primera División,10,1,,,10.0,4.0,20,5
Boca Juniors,2008–09,Argentine Primera División,28,5,,,7.0,4.0,35,9
Boca Juniors,2009–10,Argentine Primera División,24,3,,,2.0,0.0,26,3
Boca Juniors,2010–11,Argentine Primera División,13,4,,,,,13,4
Boca Juniors,2011–12,Argentine Primera División,23,4,2.0,1.0,13.0,3.0,38,8
Boca Juniors,2012–13,Argentine Primera División,5,0,1.0,0.0,7.0,2.0,13,2
Boca Juniors,2013–14,Argentine Primera División,23,7,0.0,0.0,0.0,0.0,23,7
Boca Juniors,Total,Total,141,26,3.0,1.0,50.0,21.0,194,48
Argentinos Juniors,2013–14,Argentine Primera División,0,0,3.0,2.0,0.0,0.0,3,2
Argentinos Juniors,2014–15,Primera B Nacional,15,3,3.0,2.0,0.0,0.0,18,5
Argentinos Juniors,Total,Total,15,3,3.0,2.0,0.0,0.0,18,5
Career total,Career total,Career total,443,106,14.0,7.0,139.0,37.0,596,150
