# List of international goals scored by Juan Román Riquelme
No.,Date,Venue,Opponent,Score,Result,Competition
1,30 April 2003,"June 11 Stadium, Tripoli, Libya",Libya,2–1,3–1,Friendly
2,17 November 2004,"El Monumental, Buenos Aires, Argentina",Venezuela,2–1,3–2,2006 FIFA World Cup qualification
3,8 June 2005,"El Monumental, Buenos Aires, Argentina",Brazil,2–0,3–1,2006 FIFA World Cup qualification
4,15 June 2005,"Stadium Cologne, Cologne, Germany",Tunisia,1–0,2–1,2005 FIFA Confederations Cup
5,18 June 2005,"EasyCredit-Stadion, Nuremberg, Germany",Australia,2–0,4–2,2005 FIFA Confederations Cup
6,21 June 2005,"EasyCredit-Stadion, Nuremberg, Germany",Germany,1–1,2–2,2005 FIFA Confederations Cup
7,9 October 2005,"El Monumental, Buenos Aires, Argentina",Peru,1–0,2–0,2006 FIFA World Cup qualification
8,16 November 2005,"Jassim Bin Hamad Stadium, Doha, Qatar",Qatar,1–0,3–0,Friendly
9,2 July 2007,"José Pachencho Romero, Maracaibo, Venezuela",Colombia,2–1,4–2,2007 Copa América
10,2 July 2007,"José Pachencho Romero, Maracaibo, Venezuela",Colombia,3–1,4–2,2007 Copa América
11,8 July 2007,"Estadio Metropolitano, Barquisimeto, Venezuela",Peru,1–0,4–0,2007 Copa América
12,8 July 2007,"Estadio Metropolitano, Barquisimeto, Venezuela",Peru,4–0,4–0,2007 Copa América
13,11 July 2007,"Polideportivo Cachamay, Puerto Ordaz, Venezuela",Mexico,3–0,3–0,2007 Copa América
14,13 October 2007,"El Monumental, Buenos Aires, Argentina",Chile,1–0,2–0,2010 FIFA World Cup qualification
15,13 October 2007,"El Monumental, Buenos Aires, Argentina",Chile,2–0,2–0,2010 FIFA World Cup qualification
16,17 November 2007,"El Monumental, Buenos Aires, Argentina",Bolivia,2–0,3–0,2010 FIFA World Cup qualification
17,17 November 2007,"El Monumental, Buenos Aires, Argentina",Bolivia,3–0,3–0,2010 FIFA World Cup qualification
