# Table 1
Club performance Club Brazil,Club performance Season Brazil,Club performance League Brazil,League Apps League,League Goals League,Cup Apps Copa do Brasil,Cup Goals Copa do Brasil,League Cup Apps League Cup,League Cup Goals League Cup,Continental Apps South America,Continental Goals South America,Total Apps Total,Total Goals Total
São Paulo,1993,Série A,16,1,,,,,,,,
São Paulo,1994,Série A,19,2,,,,,,,,
São Paulo,1995,Série A,9,0,,,,,,,,
England,England,England,League,League,FA Cup,FA Cup,League Cup,League Cup,Europe,Europe,Total,Total
Middlesbrough,1995–96,Premier League,21,2,0,0,0,0,-,-,21,2
Middlesbrough,1996–97,Premier League,35,12,6,2,7,1,-,-,48,15
Spain,Spain,Spain,League,League,Copa del Rey,Copa del Rey,Copa de la Liga,Copa de la Liga,Europe,Europe,Total,Total
Atlético Madrid,1997–98,La Liga,23,6,2,1,-,-,6,2,31,9
Atlético Madrid,1998–99,La Liga,32,8,6,1,-,-,9,4,44,13
England,England,England,League,League,FA Cup,FA Cup,League Cup,League Cup,Europe,Europe,Total,Total
Middlesbrough,1999–2000,Premier League,28,4,1,0,6,1,-,-,35,5
Brazil,Brazil,Brazil,League,League,Copa do Brasil,Copa do Brasil,League Cup,League Cup,South America,South America,Total,Total
Vasco da Gama,2000,Série A,22,4,,,,,,,,
Vasco da Gama,2001,Série A,15,4,,,,,,,,
Flamengo,2002,Série A,0,0,,,,,,,,
England,England,England,League,League,FA Cup,FA Cup,League Cup,League Cup,Europe,Europe,Total,Total
Middlesbrough,2002–03,Premier League,10,3,0,0,0,0,-,-,10,3
Middlesbrough,2003–04,Premier League,31,8,1,0,6,1,-,-,38,9
Scotland,Scotland,Scotland,League,League,Scottish Cup,Scottish Cup,League Cup,League Cup,Europe,Europe,Total,Total
Celtic,2004–05,Premier League,14,1,2,0,2,0,4,0,22,1
Brazil,Brazil,Brazil,League,League,Copa do Brasil,Copa do Brasil,League Cup,League Cup,South America,South America,Total,Total
Palmeiras,2005,Série A,37,14,,,,,,,,
Palmeiras,2006,Série A,26,6,,,,,,,,
Australia,Australia,Australia,League,League,Cup,Cup,League Cup,League Cup,Asia,Asia,Total,Total
Sydney,2007–08,A-League,14,0,,,,,,,,
Brazil,Brazil,Brazil,144,31,,,,,,,,
England,England,England,126,27,,,,,,,,
Spain,Spain,Spain,55,14,,,,,,,,
Scotland,Scotland,Scotland,14,1,,,,,,,,
Australia,Australia,Australia,14,0,,,,,,,,
Total,Total,Total,353,73,,,,,,,,
