# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,State league Apps,State league Goals,Other Apps,Other Goals,Total Apps,Total Goals
Sport Recife,1993,Série A,2,0,—,—,—,—,—,—,—,—,—,—,2,0
Sport Recife,1994,Série A,22,3,—,—,—,—,—,—,—,—,1,2,23,5
Sport Recife,1995,Série A,—,—,2,0,—,—,—,—,—,—,—,—,2,0
Sport Recife,Total,Total,24,3,2,0,—,—,—,—,—,—,1,2,27,5
Vasco da Gama,1995,Série A,21,3,—,—,—,—,—,—,—,—,—,—,21,3
Vasco da Gama,1996,Série A,15,7,2,0,—,—,3,0,21,3,6,1,47,11
Vasco da Gama,1997,Série A,18,4,3,1,—,—,6,1,21,1,2,1,50,8
Vasco da Gama,1998,Série A,18,3,4,0,—,—,7,1,5,1,2,1,36,6
Vasco da Gama,1999,Série A,20,2,4,0,—,—,6,1,12,4,10,4,52,11
Vasco da Gama,2000,Série A,28,7,1,0,—,—,12,2,8,2,12,0,61,11
Vasco da Gama,2001,Série A,1,1,—,—,—,—,—,—,—,—,—,—,1,1
Vasco da Gama,Total,Total,121,27,14,1,—,—,34,5,67,11,32,7,268,51
Lyon,2001–02,Ligue 1,29,5,2,0,2,0,8,0,—,—,—,—,41,5
Lyon,2002–03,Ligue 1,31,13,1,0,1,0,7,0,—,—,1,0,41,13
Lyon,2003–04,Ligue 1,32,10,3,2,—,—,10,5,—,—,1,0,46,17
Lyon,2004–05,Ligue 1,32,13,2,1,1,0,9,2,—,—,1,0,45,16
Lyon,2005–06,Ligue 1,32,9,4,1,—,—,8,4,—,—,—,—,44,14
Lyon,2006–07,Ligue 1,31,10,2,1,2,0,7,1,—,—,—,—,42,12
Lyon,2007–08,Ligue 1,32,8,4,2,2,0,8,3,—,—,—,—,46,13
Lyon,2008–09,Ligue 1,29,7,1,0,1,0,7,3,—,—,—,—,38,10
Lyon,Total,Total,248,75,19,7,9,0,64,18,—,—,3,0,343,100
Al-Gharafa,2009–10,Qatar Stars League,21,7,1,0,—,—,6,0,—,—,6,3,34,10
Al-Gharafa,2010–11,Qatar Stars League,19,8,3,1,—,—,5,0,—,—,5,3,32,12
Al-Gharafa,Total,Total,40,15,4,1,—,—,11,0,—,—,11,6,66,22
Vasco da Gama,2011,Série A,21,4,—,—,—,—,5,1,—,—,—,—,26,5
Vasco da Gama,2012,Série A,29,7,—,—,—,—,7,2,13,4,—,—,49,13
Vasco da Gama,Total,Total,50,11,—,—,—,—,12,3,13,4,—,—,75,18
New York Red Bulls,2013,MLS,13,0,2,0,—,—,—,—,—,—,—,—,15,0
Vasco da Gama,2013,Série A,21,2,1,0,—,—,—,—,—,—,—,—,22,2
Vasco da Gama total,Vasco da Gama total,Vasco da Gama total,192,40,15,1,—,—,46,8,80,15,32,7,365,71
Career total,Career total,Career total,517,133,42,9,9,0,121,26,80,15,47,15,816,198
