# Table 4
Team,From,To,Record .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}G,Record W,Record D,Record L,Record Win %,Record Ref.
Borussia Mönchengladbach,1 July 1979,30 June 1987,343,169,77,97,49.27,
Bayern Munich,1 July 1987,8 October 1991,198,113,46,39,57.07,
Athletic Bilbao,1 July 1992,30 June 1994,82,34,20,28,41.46,
Eintracht Frankfurt,1 July 1994,2 April 1995,34,12,10,12,35.29,
Tenerife,1 July 1995,26 June 1997,104,44,27,33,42.31,
Real Madrid,26 June 1997,28 May 1998,53,26,15,12,49.06,
Benfica,1 July 1999,20 September 2000,48,27,8,13,56.25,
Athletic Bilbao,1 July 2001,17 June 2003,86,36,22,28,41.86,
Schalke 04,17 June 2003,15 September 2004,57,28,14,15,49.12,
Borussia Mönchengladbach,1 July 2006,31 January 2007,21,5,4,12,23.81,
Bayern Munich,28 April 2009,5 June 2009,5,4,1,0,80.0,
Bayer Leverkusen,5 June 2009,30 June 2011,84,44,26,14,52.38,
Bayern Munich,1 July 2011,26 June 2013,109,83,12,14,76.15,
Bayern Munich,9 October 2017,30 June 2018,41,32,4,5,78.05,
Total,Total,Total,1265,657,286,322,51.94,—
