# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
USM Casablanca,1950–51,Moroccan Football League,16,23,—,—,—,—,—,—,16,23
USM Casablanca,1951–52,Moroccan Football League,10,17,—,—,—,—,—,—,10,17
USM Casablanca,1952–53,Moroccan Football League,22,22,—,—,—,—,—,—,22,22
USM Casablanca,Total,Total,48,62,—,—,—,—,—,—,48,62
Nice,1953–54,Division 1,24,17,7,3,—,—,—,—,31,20
Nice,1954–55,Division 1,28,20,4,2,—,—,—,—,32,22
Nice,1955–56,Division 1,17,5,3,4,—,—,1,0,21,9
Nice,Total,Total,69,42,14,9,—,—,1,0,84,51
Reims,1956–57,Division 1,31,30,1,1,—,—,—,—,32,31
Reims,1957–58,Division 1,26,34,6,5,—,—,—,—,32,39
Reims,1958–59,Division 1,32,24,2,2,7,10,1,0,42,36
Reims,1959–60,Division 1,28,28,2,2,—,—,—,—,30,30
Reims,1960–61,Division 1,7,4,0,0,1,0,—,—,8,4
Reims,1961–62,Division 1,7,2,1,3,—,—,—,—,8,5
Reims,Total,Total,131,122,12,13,8,10,1,0,152,145
Career total,Career total,Career total,248,226,26,22,8,10,2,0,284,258
