# List of international goals scored by Jürgen Klinsmann
No. Goals scored for West Germany,Date Goals scored for West Germany,Venue Goals scored for West Germany,Opponent Goals scored for West Germany,Score Goals scored for West Germany,Result Goals scored for West Germany,Competition Goals scored for West Germany
1,27 April 1988,"Fritz-Walter-Stadion, Kaiserslautern, West Germany",Switzerland,1–0,1–0,Friendly
2,14 June 1988,"Parkstadion, Gelsenkirchen, West Germany",Denmark,1–0,2–0,UEFA Euro 1988
3,4 October 1989,"Westfalenstadion, Dortmund, West Germany",Finland,3–0,6–1,1990 FIFA World Cup qualifying
4,25 April 1990,"Neckarstadion, Stuttgart, West Germany",Uruguay,3–2,3–3,Friendly
5,10 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",Yugoslavia,2–0,4–1,1990 FIFA World Cup
6,15 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",United Arab Emirates,2–0,5–1,1990 FIFA World Cup
7,24 June 1990,"Stadio Giuseppe Meazza, Milan, Italy",Netherlands,1–0,2–1,1990 FIFA World Cup
Goals scored for Germany,Goals scored for Germany,Goals scored for Germany,Goals scored for Germany,Goals scored for Germany,Goals scored for Germany,Goals scored for Germany
8,10 October 1990,"Råsunda Stadium, Stockholm, Sweden",Sweden,1–0,3–1,Friendly
9,31 October 1990,"Stade Josy Barthel, Luxembourg, Luxembourg",Luxembourg,1–0,3–2,UEFA Euro 1992 qualifying
10,18 June 1992,"Ullevi, Gothenburg, Sweden",Netherlands,1–2,1–3,UEFA Euro 1992
11,20 December 1992,"Estadio Centenario, Montevideo, Uruguay",Uruguay,4–0,4–1,Friendly
12,14 April 1993,"Ruhrstadion, Bochum, Germany",Ghana,3–1,6–1,Friendly
13,14 April 1993,"Ruhrstadion, Bochum, Germany",Ghana,5–1,6–1,Friendly
14,10 June 1993,"Robert F. Kennedy Memorial Stadium, Washington, D.C., U.S.",Brazil,1–3,3–3,U.S. Cup
15,10 June 1993,"Robert F. Kennedy Memorial Stadium, Washington, D.C., U.S.",Brazil,3–3,3–3,U.S. Cup
16,13 June 1993,"Soldier Field, Chicago, U.S.",United States,1–0,4–3,U.S. Cup
17,19 June 1993,"Silverdome, Pontiac, U.S.",England,2–1,2–1,U.S. Cup
18,23 March 1994,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",Italy,1–1,2–1,Friendly
19,23 March 1994,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",Italy,2–1,2–1,Friendly
20,2 June 1994,"Ernst-Happel-Stadion, Vienna, Austria",Austria,3–0,5–1,Friendly
21,17 June 1994,"Soldier Field, Chicago, U.S.",Bolivia,1–0,1–0,1994 FIFA World Cup
22,21 June 1994,"Soldier Field, Chicago, U.S.",Spain,1–1,1–1,1994 FIFA World Cup
23,27 June 1994,"Cotton Bowl, Dallas, U.S.",South Korea,1–0,3–2,1994 FIFA World Cup
24,27 June 1994,"Cotton Bowl, Dallas, U.S.",South Korea,3–0,3–2,1994 FIFA World Cup
25,2 July 1994,"Soldier Field, Chicago, U.S.",Belgium,2–1,3–2,1994 FIFA World Cup
26,16 November 1994,"Qemal Stafa, Tirana, Albania",Albania,1–0,2–1,UEFA Euro 1996 qualifying
27,14 December 1994,"Stadionul Republican, Chişinău, Moldova",Moldova,2–0,3–0,UEFA Euro 1996 qualifying
28,18 December 1994,"Fritz-Walter-Stadion, Kaiserslautern, Germany",Albania,2–0,2–1,UEFA Euro 1996 qualifying
29,29 March 1995,"Boris Paichadze Stadium, Tbilisi, Georgia",Georgia,1–0,2–0,UEFA Euro 1996 qualifying
30,29 March 1995,"Boris Paichadze Stadium, Tbilisi, Georgia",Georgia,2–0,2–0,UEFA Euro 1996 qualifying
31,7 June 1995,"Vasil Levski National Stadium, Sofia, Bulgaria",Bulgaria,1–0,2–3,UEFA Euro 1996 qualifying
32,11 October 1995,"Cardiff Arms Park, Cardiff, Wales",Wales,2–1,2–1,UEFA Euro 1996 qualifying
33,15 November 1995,"Olympic Stadium, Berlin, Germany",Bulgaria,1–1,3–1,UEFA Euro 1996 qualifying
34,15 November 1995,"Olympic Stadium, Berlin, Germany",Bulgaria,3–1,3–1,UEFA Euro 1996 qualifying
35,24 April 1996,"Feijenoord Stadion, Rotterdam, Netherlands",Netherlands,1–0,1–0,Friendly
36,4 June 1996,"Carl-Benz-Stadion, Mannheim, Germany",Liechtenstein,8–1,9–1,Friendly
37,16 June 1996,"Old Trafford, Manchester, England",Russia,2–0,3–0,UEFA Euro 1996
38,16 June 1996,"Old Trafford, Manchester, England",Russia,3–0,3–0,UEFA Euro 1996
39,23 June 1996,"Old Trafford, Manchester, England",Croatia,1–0,2–1,UEFA Euro 1996
40,4 September 1996,"Ernest Pohl Stadium, Zabrze, Poland",Poland,2–0,2–0,Friendly
41,9 October 1996,"Hrazdan Stadium, Yerevan, Armenia",Armenia,2–0,5–1,1998 FIFA World Cup qualifying
42,10 September 1997,"Westfalenstadion, Dortmund, Germany",Armenia,1–0,4–0,1998 FIFA World Cup qualifying
43,10 September 1997,"Westfalenstadion, Dortmund, Germany",Armenia,2–0,4–0,1998 FIFA World Cup qualifying
44,5 June 1998,"Carl-Benz-Stadion, Mannheim, Germany",Luxembourg,2–0,7–0,Friendly
45,15 June 1998,"Parc des Princes, Paris, France",United States,2–0,2–0,1998 FIFA World Cup
46,25 June 1998,"Stade de la Mosson, Montpellier, France",Iran,2–0,2–0,1998 FIFA World Cup
47,29 June 1998,"Stade de la Mosson, Montpellier, France",Mexico,1–1,2–1,1998 FIFA World Cup
