# List of international goals scored by Karim Benzema
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,28 March 2007,"Stade de France, Saint-Denis, France",1,Austria,1–0,1–0,Friendly
2,13 October 2007,"Tórsvøllur, Tórshavn, Faroe Islands",5,Faroe Islands,3–0,6–0,UEFA Euro 2008 qualifying
3,13 October 2007,"Tórsvøllur, Tórshavn, Faroe Islands",5,Faroe Islands,5–0,6–0,UEFA Euro 2008 qualifying
4,20 August 2008,"Ullevi, Gothenburg, Sweden",14,Sweden,1–1,3–2,Friendly
5,14 October 2008,"Stade de France, Saint-Denis, France",18,Tunisia,3–1,3–1,Friendly
6,5 June 2009,"Stade de Gerland, Lyon, France",24,Turkey,1–0,1–0,Friendly
7,10 October 2009,"Stade de Roudourou, Guingamp, France",26,Faroe Islands,5–0,5–0,2010 FIFA World Cup qualification
8,14 October 2009,"Stade de France, Saint-Denis, France",27,Austria,1–0,3–1,2010 FIFA World Cup qualification
9,7 September 2010,"Koševo City Stadium, Sarajevo, Bosnia and Herzegovina",29,Bosnia and Herzegovina,1–0,2–0,UEFA Euro 2012 qualifying
10,12 October 2010,"Stade Saint-Symphorien, Metz, France",31,Luxembourg,1–0,2–0,UEFA Euro 2012 qualifying
11,17 November 2010,"Wembley Stadium, London, England",32,England,1–0,2–1,Friendly
12,9 February 2011,"Stade de France, Saint-Denis, France",33,Brazil,1–0,1–0,Friendly
13,2 September 2011,"Stadiumi Qemal Stafa, Tirana, Albania",39,Albania,1–0,2–1,UEFA Euro 2012 qualifying
14,5 June 2012,"MMArena, Le Mans, France",45,Estonia,2–0,4–0,Friendly
15,5 June 2012,"MMArena, Le Mans, France",45,Estonia,3–0,4–0,Friendly
16,11 October 2013,"Parc des Princes, Paris, France",61,Australia,6–0,6–0,Friendly
17,15 October 2013,"Stade de France, Saint-Denis, France",62,Finland,3–0,3–0,2014 FIFA World Cup qualification
18,19 November 2013,"Stade de France, Saint-Denis, France",64,Ukraine,2–0,3–0,2014 FIFA World Cup qualification
19,5 March 2014,"Stade de France, Saint-Denis, France",65,Netherlands,1–0,2–0,Friendly
20,8 June 2014,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",66,Jamaica,3–0,8–0,Friendly
21,8 June 2014,"Stade Pierre-Mauroy, Villeneuve-d'Ascq, France",66,Jamaica,5–0,8–0,Friendly
22,15 June 2014,"Estádio Beira-Rio, Porto Alegre, Brazil",67,Honduras,1–0,3–0,2014 FIFA World Cup
23,15 June 2014,"Estádio Beira-Rio, Porto Alegre, Brazil",67,Honduras,3–0,3–0,2014 FIFA World Cup
24,20 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",68,Switzerland,4–0,5–2,2014 FIFA World Cup
25,11 October 2014,"Stade de France, Saint-Denis, France",74,Portugal,1–0,2–1,Friendly
26,8 October 2015,"Allianz Riviera, Nice, France",81,Armenia,3–0,4–0,Friendly
27,8 October 2015,"Allianz Riviera, Nice, France",81,Armenia,4–0,4–0,Friendly
28,23 June 2021,"Puskás Aréna, Budapest, Hungary",86,Portugal,1–1,2–2,UEFA Euro 2020
29,23 June 2021,"Puskás Aréna, Budapest, Hungary",86,Portugal,2–1,2–2,UEFA Euro 2020
30,28 June 2021,"Arena Națională, Bucharest, Romania",87,Switzerland,1–1,3–3 (a.e.t.),UEFA Euro 2020
31,28 June 2021,"Arena Națională, Bucharest, Romania",87,Switzerland,2–1,3–3 (a.e.t.),UEFA Euro 2020
32,7 October 2021,"Juventus Stadium, Turin, Italy",91,Belgium,1–2,3–2,2021 UEFA Nations League Finals
33,10 October 2021,"San Siro, Milan, Italy",92,Spain,1–1,2–1,2021 UEFA Nations League final
34,13 November 2021,"Parc des Princes, Paris, France",93,Kazakhstan,4–0,8–0,2022 FIFA World Cup qualification
35,13 November 2021,"Parc des Princes, Paris, France",93,Kazakhstan,5–0,8–0,2022 FIFA World Cup qualification
36,16 November 2021,"Helsinki Olympic Stadium, Helsinki, Finland",94,Finland,1–0,2–0,2022 FIFA World Cup qualification
37,3 June 2022,"Stade de France, Saint-Denis, France",95,Denmark,1–0,1–2,2022–23 UEFA Nations League A
