# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
ŁKS Łódź,1966–67,Ekstraklasa,1,0,,,,,,,,
Legia Warsaw,1966–67,Ekstraklasa,12,6,1.0,1.0,–,–,0.0,0.0,13.0,7.0
Legia Warsaw,1967–68,Ekstraklasa,23,6,2.0,0.0,–,–,4.0,4.0,29.0,10.0
Legia Warsaw,1968–69,Ekstraklasa,26,12,6.0,5.0,–,–,6.0,2.0,38.0,19.0
Legia Warsaw,1969–70,Ekstraklasa,23,5,4.0,3.0,–,–,8.0,3.0,35.0,11.0
Legia Warsaw,1970–71,Ekstraklasa,23,3,4.0,4.0,–,–,6.0,1.0,33.0,8.0
Legia Warsaw,1971–72,Ekstraklasa,26,10,6.0,8.0,–,–,4.0,0.0,36.0,18.0
Legia Warsaw,1972–73,Ekstraklasa,25,8,7.0,4.0,–,–,3.0,3.0,35.0,15.0
Legia Warsaw,1973–74,Ekstraklasa,27,8,3.0,2.0,–,–,5.0,2.0,35.0,12.0
Legia Warsaw,1974–75,Ekstraklasa,26,5,0.0,0.0,–,–,2.0,0.0,28.0,5.0
Legia Warsaw,1975–76,Ekstraklasa,26,11,2.0,1.0,–,–,,,28.0,12.0
Legia Warsaw,1976–77,Ekstraklasa,28,9,4.0,0.0,–,–,2.0,2.0,34.0,11.0
Legia Warsaw,1977–78,Ekstraklasa,28,9,4.0,1.0,–,–,,,33.0,10.0
Legia Warsaw,1978–79,Ekstraklasa,11,2,2.0,1.0,–,–,,,13.0,3.0
Legia Warsaw,Total,Total,304,93,,,,,,,,
Manchester City,1978–79,First Division,13,6,2.0,0.0,1,0,1.0,1.0,17.0,7.0
Manchester City,1979–80,First Division,22,6,0.0,0.0,1,0,,,23.0,6.0
Manchester City,1980–81,First Division,3,0,0.0,0.0,0,0,,,3.0,0.0
Manchester City,Total,Total,38,12,,,,,,,,
San Diego Sockers,1981,North American Soccer League,39,15,,,,,,,,
San Diego Sockers,1982,North American Soccer League,26,11,,,,,,,,
San Diego Sockers,1983,North American Soccer League,18,15,,,,,,,,
San Diego Sockers,1984,North American Soccer League,23,8,,,,,,,,
San Diego Sockers,Total,Total,106,49,,,,,,,,
Career total,Career total,Career total,449,159,,,,,,,539.0,203.0
