# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Celtic,1968–69,Scottish Division One,0,0,0,0,1,0,0,0,–,–,1,0
Celtic,1969–70,Scottish Division One,2,0,0,0,2,0,0,0,–,–,4,0
Celtic,1970–71,Scottish Division One,3,0,1,0,0,0,1,0,2,0,7,0
Celtic,1971–72,Scottish Division One,31,17,4,1,8,5,7,0,3,6,53,29
Celtic,1972–73,Scottish Division One,32,21,6,5,11,10,4,3,3,0,56,39
Celtic,1973–74,Scottish Division One,33,18,6,1,10,3,7,2,3,1,59,25
Celtic,1974–75,Scottish Division One,33,16,5,2,8,3,2,0,3,0,51,21
Celtic,1975–76,Scottish Premier Division,35,24,1,1,10,4,5,3,2,0,53,32
Celtic,1976–77,Scottish Premier Division,35,15,7,1,10,10,2,1,–,–,54,27
Celtic,Total,Total,204,111,30,11,60,35,28,9,16,7,338,173
Liverpool,1977–78,First Division,42,20,1,1,9,6,9,4,1,0,62,31
Liverpool,1978–79,First Division,42,21,7,4,1,0,4,0,–,–,54,25
Liverpool,1979–80,First Division,42,16,8,2,7,4,2,0,1,1,60,23
Liverpool,1980–81,First Division,34,8,2,2,8,7,9,1,1,0,54,18
Liverpool,1981–82,First Division,42,13,3,2,10,5,6,2,1,0,62,22
Liverpool,1982–83,First Division,42,18,3,1,7,0,5,1,1,0,58,20
Liverpool,1983–84,First Division,33,7,0,0,8,2,9,3,1,0,51,12
Liverpool,1984–85,First Division,36,6,7,0,1,0,7,0,2,0,53,6
Liverpool,1985–86,First Division,21,3,6,1,2,1,–,–,2,2,31,7
Liverpool,1986–87,First Division,18,6,0,0,5,2,–,–,2,0,25,8
Liverpool,1987–88,First Division,2,0,0,0,0,0,–,–,–,–,2,0
Liverpool,1988–89,First Division,0,0,0,0,1,0,–,–,1,0,2,0
Liverpool,1989–90,First Division,1,0,0,0,0,0,–,–,–,–,1,0
Liverpool,Total,Total,355,118,37,13,59,27,51,11,13,3,515,172
Career total,Career total,Career total,559,229,67,24,119,62,79,20,29,10,853,345
