# List of international goals scored by Kevin Keegan
No.,Date,Venue,Opponent,Score,Result,Competition
1,11 May 1974,"Ninian Park, Cardiff",Wales,2–0,2–0,1974 British Home Championship
2,5 June 1974,"Stadion Crvena Zvezda, Belgrade",Yugoslavia,2–2,2–2,Friendly
3,11 May 1975,"Tsirion Stadium, Cyprus",Cyprus,1–0,1–0,Euro 1976 qualifier
4,3 September 1975,"St. Jakob-Park, Basel",Switzerland,1–0,2–1,Friendly
5,13 June 1976,"Helsinki Olympic Stadium, Helsinki",Finland,2–1,4–1,1978 World Cup qualifier
6,13 June 1976,"Helsinki Olympic Stadium, Helsinki",Finland,4–1,4–1,1978 World Cup qualifier
7,30 March 1977,"Wembley Stadium, London",Luxembourg,1–0,5–0,1978 World Cup qualifier
8,16 November 1977,"Wembley Stadium, London",Italy,1–0,2–0,1978 World Cup qualifier
9,19 April 1978,"Wembley Stadium, London",Brazil,1–1,1–1,Friendly
10,20 September 1978,"Parken Stadium, Copenhagen",Denmark,1–0,4–3,Euro 1980 qualifier
11,20 September 1978,"Parken Stadium, Copenhagen",Denmark,2–0,4–3,Euro 1980 qualifier
12,7 February 1979,"Wembley Stadium, London",Northern Ireland,1–0,4–0,Euro 1980 qualifier
13,26 May 1979,"Wembley Stadium, London",Scotland,3–1,3–1,1979 British Home Championship
14,6 June 1979,"Vasil Levski National Stadium, Sofia",Bulgaria,1–0,3–0,Euro 1980 qualifier
15,13 June 1979,"Praterstadion, Vienna",Austria,1–2,3–4,Friendly
16,12 September 1979,"Wembley Stadium, London",Denmark,1–0,1–0,Euro 1980 qualifier
17,6 February 1980,"Wembley Stadium, London",Republic of Ireland,1–0,2–0,Euro 1980 qualifier
18,6 February 1980,"Wembley Stadium, London",Republic of Ireland,2–0,2–0,Euro 1980 qualifier
19,13 May 1980,"Wembley Stadium, London",Argentina,3–1,3–1,Friendly
20,6 June 1981,"Népstadion, Budapest",Hungary,3–1,3–1,1982 World Cup qualifier
21,23 February 1982,"Wembley Stadium, London",Northern Ireland,2–0,4–0,1982 British Home Championship
