# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Monaco II,2015–16,CFA,10,2,—,—,—,—,—,—,—,—,10,2
Monaco II,2016–17,CFA,2,2,—,—,—,—,—,—,—,—,2,2
Monaco II,Total,Total,12,4,—,—,—,—,—,—,—,—,12,4
Monaco,2015–16,Ligue 1,11,1,1,0,1,0,1,0,—,—,14,1
Monaco,2016–17,Ligue 1,29,15,3,2,3,3,9,6,—,—,44,26
Monaco,2017–18,Ligue 1,1,0,—,—,—,—,—,—,1,0,2,0
Monaco,Total,Total,41,16,4,2,4,3,10,6,1,0,60,27
Paris Saint-Germain (loan),2017–18,Ligue 1,27,13,5,4,4,0,8,4,—,—,44,21
Paris Saint-Germain,2018–19,Ligue 1,29,33,4,2,2,0,8,4,0,0,43,39
Paris Saint-Germain,2019–20,Ligue 1,20,18,3,4,3,2,10,5,1,1,37,30
Paris Saint-Germain,2020–21,Ligue 1,31,27,5,7,—,—,10,8,1,0,47,42
Paris Saint-Germain,2021–22,Ligue 1,35,28,3,5,—,—,8,6,0,0,46,39
Paris Saint-Germain,2022–23,Ligue 1,34,29,1,5,—,—,8,7,0,0,43,41
Paris Saint-Germain,2023–24,Ligue 1,29,27,6,8,—,—,12,8,1,1,48,44
Paris Saint-Germain,Total,Total,178,162,22,31,5,2,76,38,3,2,264,235
Real Madrid,2024–25,La Liga,34,31,4,2,—,—,14,7,7,4,59,44
Real Madrid,2025–26,La Liga,7,8,0,0,—,—,1,2,0,0,8,10
Real Madrid,Total,Total,41,39,4,2,—,—,15,9,7,4,67,54
Career total,Career total,Career total,299,234,35,39,13,5,89,57,11,6,447,341
