# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Montpellier,1983–84,Division 2,15,0,0,0,—,—,15,0
Montpellier,1984–85,Division 2,32,5,1,0,—,—,33,5
Montpellier,1985–86,Division 2,29,6,2,0,—,—,31,6
Montpellier,1986–87,Division 2,34,18,1,0,—,—,35,18
Montpellier,1987–88,Division 1,24,6,1,0,—,—,25,6
Montpellier,1988–89,Division 1,35,15,3,1,2,0,40,16
Montpellier,1989–90,Division 1,36,12,6,2,—,—,42,14
Montpellier,1990–91,Division 1,38,14,2,0,6,1,46,15
Montpellier,Total,Total,243,76,16,3,8,1,267,80
Napoli,1991–92,Serie A,31,6,3,0,—,—,34,6
Nîmes,1992–93,Division 1,29,1,1,0,—,—,30,1
Saint-Étienne,1993–94,Division 1,33,5,1,0,—,—,34,5
Saint-Étienne,1994–95,Division 1,37,13,2,0,—,—,39,13
Saint-Étienne,Total,Total,70,18,3,0,0,0,73,18
Auxerre,1995–96,Division 1,23,2,8,2,—,—,31,4
Barcelona,1996–97,La Liga,28,1,5,0,5,0,38,1
Marseille,1997–98,Division 1,31,11,4,2,—,—,35,13
Marseille,1998–99,Division 1,32,3,2,0,10,1,44,4
Marseille,Total,Total,63,14,6,2,10,1,79,17
Inter Milan,1999–2000,Serie A,34,3,7,0,—,—,41,3
Inter Milan,2000–01,Serie A,33,3,2,0,9,0,44,3
Inter Milan,Total,Total,67,6,9,0,9,0,85,6
Manchester United,2001–02,Premier League,29,1,2,0,15,2,46,3
Manchester United,2002–03,Premier League,19,0,1,0,9,1,29,1
Manchester United,Total,Total,48,1,3,0,24,3,75,4
Career total,Career total,Career total,602,125,54,7,56,5,712,137
