# List of international goals scored by Laurent Blanc
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,18 November 1989,"Stadium de Toulouse, Toulouse, France",Cyprus,2–0,2–0,1990 FIFA World Cup qualification,
2,21 January 1990,"Al-Sadaqua Walsalam Stadium, Kuwait City, Kuwait",Kuwait,1–0,1–0,Friendly,
3,20 February 1991,"Parc des Princes, Paris, France",Spain,3–1,3–1,UEFA Euro 1992 qualifying,
4,14 August 1991,"Poznań Stadium, Poznań, Poland",Poland,4–1,5–1,Friendly,
5,17 February 1993,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,2–0,4–0,1994 FIFA World Cup qualification,
6,17 February 1993,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,3–0,4–0,1994 FIFA World Cup qualification,
7,8 September 1993,"Tampere Stadium, Tampere, Finland",Finland,1–0,2–0,1994 FIFA World Cup qualification,
8,26 April 1995,"Stade de la Beaujoire, Nantes, France",Slovakia,3–0,4–0,UEFA Euro 1996 qualifying,
9,1 June 1996,"MHPArena, Stuttgart, Germany",Germany,1–0,1–0,Friendly,
10,18 June 1996,"St James' Park, Newcastle, United Kingdom",Bulgaria,1–0,3–1,UEFA Euro 1996,
11,9 October 1996,"Parc des Princes, Paris, France",Turkey,1–0,4–0,Friendly,
12,25 February 1998,"Stade Vélodrome, Marseille, France",Norway,1–1,3–3,Friendly,
13,29 May 1998,"Stade Mohammed V, Casablanca, Morocco",Morocco,1–1,2–2,Friendly,
14,28 June 1998,"Stade Bollaert-Delelis, Lens, France",Paraguay,1–0,1–0,1998 FIFA World Cup,
15,26 April 2000,"Stade de France, Paris, France",Slovenia,2–2,3–2,Friendly,
16,11 June 2000,"Jan Breydel Stadium, Bruges, Belgium",Denmark,1–0,3–0,UEFA Euro 2000,
