# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Schalke 04,2013–14,Bundesliga,1,0,0,0,—,—,0,0,—,—,1,0
Schalke 04,2014–15,Bundesliga,13,3,0,0,—,—,1,1,—,—,14,4
Schalke 04,2015–16,Bundesliga,33,8,2,0,—,—,7,1,—,—,42,9
Schalke 04,Total,Total,47,11,2,0,—,—,8,2,—,—,57,13
Manchester City,2016–17,Premier League,26,5,5,2,2,0,4,2,—,—,37,9
Manchester City,2017–18,Premier League,32,10,3,1,5,3,9,0,—,—,49,14
Manchester City,2018–19,Premier League,31,10,4,2,3,0,8,4,1,0,47,16
Manchester City,2019–20,Premier League,1,0,0,0,0,0,0,0,1,0,2,0
Manchester City,Total,Total,90,25,12,5,10,3,21,6,2,0,135,39
Bayern Munich,2020–21,Bundesliga,32,6,1,1,—,—,8,3,3,0,44,10
Bayern Munich,2021–22,Bundesliga,32,7,2,1,—,—,10,6,1,0,45,14
Bayern Munich,2022–23,Bundesliga,32,8,3,1,—,—,8,4,1,1,44,14
Bayern Munich,2023–24,Bundesliga,27,8,1,0,—,—,12,2,1,0,42,10
Bayern Munich,2024–25,Bundesliga,30,11,2,1,—,—,13,1,3,0,48,13
Bayern Munich,Total,Total,153,40,10,4,—,—,51,16,9,1,223,61
Galatasaray,2025–26,Süper Lig,6,1,0,0,—,—,1,0,0,0,7,1
Career total,Career total,Career total,296,77,24,9,10,3,81,24,11,1,422,114
