# List of international goals scored by Leroy Sané
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,15 November 2018,"Red Bull Arena, Leipzig, Germany",16,Russia,1–0,3–0,Friendly
2,19 November 2018,"Arena AufSchalke, Gelsenkirchen, Germany",17,Netherlands,2–0,2–2,2018–19 UEFA Nations League A
3,24 March 2019,"Johan Cruyff Arena, Amsterdam, Netherlands",19,Netherlands,1–0,3–2,UEFA Euro 2020 qualifying
4,8 June 2019,"Borisov Arena, Barysaw, Belarus",20,Belarus,1–0,2–0,UEFA Euro 2020 qualifying
5,11 June 2019,"Opel Arena, Mainz, Germany",21,Estonia,8–0,8–0,UEFA Euro 2020 qualifying
6,14 November 2020,"Red Bull Arena, Leipzig, Germany",24,Ukraine,1–1,3–1,2020–21 UEFA Nations League A
7,7 June 2021,"Merkur Spiel-Arena, Düsseldorf, Germany",30,Latvia,7–1,7–1,Friendly
8,2 September 2021,"Kybunpark, St. Gallen, Switzerland",35,Liechtenstein,2–0,2–0,2022 FIFA World Cup qualification
9,8 September 2021,"Laugardalsvöllur, Reykjavík, Iceland",37,Iceland,3–0,4–0,2022 FIFA World Cup qualification
10,11 November 2021,"Volkswagen Arena, Wolfsburg, Germany",39,Liechtenstein,3–0,9–0,2022 FIFA World Cup qualification
11,11 November 2021,"Volkswagen Arena, Wolfsburg, Germany",39,Liechtenstein,5–0,9–0,2022 FIFA World Cup qualification
12,9 September 2023,"Volkswagen Arena, Wolfsburg, Germany",54,Japan,1–1,1–4,Friendly
13,12 September 2023,"Westfalenstadion, Dortmund, Germany",55,France,2–0,2–1,Friendly
14,16 November 2024,"Europa-Park Stadion, Freiburg, Germany",66,Bosnia and Herzegovina,6–0,7–0,2024–25 UEFA Nations League A
