# Appearances and goals by national team, year and competition
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Argentina U20,2004,—,—,2,3,2,3
Argentina U20,2005,16,11,—,—,16,11
Argentina U20,Total,16,11,2,3,18,14
Argentina U23,2008,5,2,—,—,5,2
Argentina U23,Total,5,2,0,0,5,2
Argentina,2005,3,0,2,0,5,0
Argentina,2006,3,1,4,1,7,2
Argentina,2007,10,4,4,2,14,6
Argentina,2008,6,1,2,1,8,2
Argentina,2009,8,1,2,2,10,3
Argentina,2010,5,0,5,2,10,2
Argentina,2011,8,2,5,2,13,4
Argentina,2012,5,5,4,7,9,12
Argentina,2013,5,3,2,3,7,6
Argentina,2014,7,4,7,4,14,8
Argentina,2015,6,1,2,3,8,4
Argentina,2016,10,8,1,0,11,8
Argentina,2017,5,4,2,0,7,4
Argentina,2018,4,1,1,3,5,4
Argentina,2019,6,1,4,4,10,5
Argentina,2020,4,1,—,—,4,1
Argentina,2021,16,9,—,—,16,9
Argentina,2022,10,8,4,10,14,18
Argentina,2023,5,3,3,5,8,8
Argentina,2024,9,4,2,2,11,6
Argentina,2025,3,2,—,—,3,2
Argentina,Total,138,63,56,51,194,114
Career total,Career total,159,74,58,54,217,130
