# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Borussia Mönchengladbach,1979–80,Bundesliga,28,4,2,0,–,–,11,2,41,6
Borussia Mönchengladbach,1980–81,Bundesliga,33,10,5,2,—,—,—,—,38,12
Borussia Mönchengladbach,1981–82,Bundesliga,33,3,5,4,—,—,4,1,42,8
Borussia Mönchengladbach,1982–83,Bundesliga,34,8,5,2,—,—,—,—,39,10
Borussia Mönchengladbach,1983–84,Bundesliga,34,11,6,4,—,—,—,—,40,15
Borussia Mönchengladbach,Total,Total,162,36,23,12,—,—,15,3,200,51
Bayern Munich,1984–85,Bundesliga,33,16,6,0,—,—,5,1,44,17
Bayern Munich,1985–86,Bundesliga,23,10,5,2,—,—,3,0,31,12
Bayern Munich,1986–87,Bundesliga,31,14,3,1,—,—,7,4,41,19
Bayern Munich,1987–88,Bundesliga,26,17,4,3,—,—,4,1,34,21
Bayern Munich,Total,Total,113,57,18,6,—,—,19,6,150,69
Inter Milan,1988–89,Serie A,32,9,7,3,—,—,5,0,44,12
Inter Milan,1989–90,Serie A,25,11,2,2,0,0,2,0,29,13
Inter Milan,1990–91,Serie A,31,16,3,1,—,—,12,6,46,23
Inter Milan,1991–92,Serie A,27,4,5,1,—,—,2,0,34,5
Inter Milan,Total,Total,115,40,17,7,0,0,21,6,153,53
Bayern Munich,1992–93,Bundesliga,28,8,0,0,—,—,—,—,28,8
Bayern Munich,1993–94,Bundesliga,33,8,3,1,—,—,4,1,40,10
Bayern Munich,1994–95,Bundesliga,16,5,2,0,—,—,6,0,24,5
Bayern Munich,1995–96,Bundesliga,19,1,0,0,—,—,7,0,26,1
Bayern Munich,1996–97,Bundesliga,28,1,3,0,—,—,2,0,33,1
Bayern Munich,1997–98,Bundesliga,25,3,3,0,2,0,5,0,35,3
Bayern Munich,1998–99,Bundesliga,25,1,5,0,2,0,12,1,44,2
Bayern Munich,1999–2000,Bundesliga,15,1,2,0,0,0,9,0,26,1
Bayern Munich,Total,Total,189,28,18,1,4,0,45,2,256,31
MetroStars,2000,Major League Soccer,16,0,2,0,5,0,—,—,23,0
Career total,Career total,Career total,595,161,78,26,9,0,100,17,782,204
