# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lyon,1994–95,Division 1,8,0,1,1,2,0,—,—,—,—,11,1
Lyon,1995–96,Division 1,36,4,1,0,5,3,6,1,—,—,48,8
Lyon,1996–97,Division 1,37,16,2,0,2,1,—,—,—,—,41,17
Lyon,1997–98,Division 1,19,1,0,0,1,0,11,5,—,—,31,6
Lyon,Total,Total,100,21,4,1,10,4,17,6,—,—,131,32
Monaco,1997–98,Division 1,12,1,4,0,—,—,—,—,—,—,16,1
Monaco,1998–99,Division 1,32,8,1,0,1,0,6,2,—,—,40,10
Monaco,1999–2000,Division 1,33,5,5,1,2,1,7,2,—,—,47,9
Monaco,2000–01,Division 1,30,7,1,0,4,0,6,0,1,0,42,7
Monaco,2001–02,Division 1,11,2,0,0,0,0,—,—,—,—,11,2
Monaco,2002–03,Ligue 1,36,11,1,0,4,3,—,—,—,—,41,14
Monaco,2003–04,Ligue 1,30,13,2,1,0,0,10,4,—,—,42,18
Monaco,Total,Total,184,47,14,2,11,4,29,8,1,0,239,61
Barcelona,2004–05,La Liga,29,11,1,0,—,—,6,1,—,—,36,12
Barcelona,2005–06,La Liga,29,5,3,1,—,—,8,1,2,1,42,8
Barcelona,2006–07,La Liga,27,3,7,0,—,—,8,2,4,1,46,6
Barcelona,Total,Total,85,19,11,1,—,—,22,4,6,2,124,26
Roma,2007–08,Serie A,32,6,6,1,—,—,9,1,1,0,48,8
Paris Saint-Germain,2008–09,Ligue 1,34,9,3,0,1,0,4,0,—,—,42,9
Paris Saint-Germain,2009–10,Ligue 1,31,3,6,1,1,0,—,—,—,—,38,4
Paris Saint-Germain,2010–11,Ligue 1,35,4,2,0,2,1,5,1,1,0,45,6
Paris Saint-Germain,Total,Total,100,16,11,1,4,1,9,1,1,0,125,19
Monaco,2011–12,Ligue 2,27,3,2,2,0,0,—,—,—,—,29,5
Lorient,2012–13,Ligue 1,17,1,2,1,1,0,—,—,—,—,20,2
Monts d'Or Azergues,2013–14,CFA,17,4,2,1,—,—,—,—,—,—,19,5
Monts d'Or Azergues,2014–15,CFA,19,11,1,2,—,—,—,—,—,—,20,13
Monts d'Or Azergues,Total,Total,36,15,3,3,—,—,—,—,—,—,39,18
Career total,Career total,Career total,581,128,53,12,26,9,86,20,9,2,755,171
