# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nacional,2005,Uruguayan Primera División,0,0,—,—,—,—,1,0,—,—,1,0
Nacional,2005–06,Uruguayan Primera División,27,10,—,—,—,—,3,0,4,2,34,12
Nacional,Total,Total,27,10,—,—,—,—,4,0,4,2,35,12
Groningen,2006–07,Eredivisie,29,10,2,1,—,—,2,1,4,3,37,15
Ajax,2007–08,Eredivisie,33,17,3,2,—,—,4,1,4,2,44,22
Ajax,2008–09,Eredivisie,31,22,2,1,—,—,10,5,—,—,43,28
Ajax,2009–10,Eredivisie,33,35,6,8,—,—,9,6,—,—,48,49
Ajax,2010–11,Eredivisie,13,7,1,1,—,—,9,4,1,0,24,12
Ajax,Total,Total,110,81,12,12,—,—,32,16,5,2,159,111
Liverpool,2010–11,Premier League,13,4,—,—,—,—,0,0,—,—,13,4
Liverpool,2011–12,Premier League,31,11,4,3,4,3,—,—,—,—,39,17
Liverpool,2012–13,Premier League,33,23,2,2,1,1,8,4,—,—,44,30
Liverpool,2013–14,Premier League,33,31,3,0,1,0,—,—,—,—,37,31
Liverpool,Total,Total,110,69,9,5,6,4,8,4,—,—,133,82
Barcelona,2014–15,La Liga,27,16,6,2,—,—,10,7,—,—,43,25
Barcelona,2015–16,La Liga,35,40,4,5,—,—,9,8,5,6,53,59
Barcelona,2016–17,La Liga,35,29,6,4,—,—,9,3,1,1,51,37
Barcelona,2017–18,La Liga,33,25,6,5,—,—,10,1,2,0,51,31
Barcelona,2018–19,La Liga,33,21,5,3,—,—,10,1,1,0,49,25
Barcelona,2019–20,La Liga,28,16,0,0,—,—,7,5,1,0,36,21
Barcelona,Total,Total,191,147,27,19,—,—,55,25,10,7,283,198
Atlético Madrid,2020–21,La Liga,32,21,0,0,—,—,6,0,—,—,38,21
Atlético Madrid,2021–22,La Liga,35,11,2,1,—,—,7,1,1,0,45,13
Atlético Madrid,Total,Total,67,32,2,1,—,—,13,1,1,0,83,34
Nacional,2022,Uruguayan Primera División,14,8,0,0,—,—,2,0,—,—,16,8
Grêmio,2023,Série A,33,17,8,2,—,—,—,—,13,10,54,29
Inter Miami,2024,MLS,27,20,—,—,—,—,4,2,6,3,37,25
Inter Miami,2025,MLS,24,7,—,—,—,—,8,3,10,4,42,14
Inter Miami,Total,Total,51,27,—,—,—,—,12,5,16,7,79,39
Career total,Career total,Career total,631,400,60,40,6,4,128,52,53,31,879,528
