# List of international goals scored by Luka Modrić
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,16 August 2006,"Stadio Armando Picchi, Livorno, Italy",8,Italy,2–0,2–0,Friendly
2,7 October 2006,"Stadion Maksimir, Zagreb, Croatia",10,Andorra,7–0,7–0,UEFA Euro 2008 qualifying
3,7 February 2007,"Stadion Kantrida, Rijeka, Croatia",13,Norway,2–0,2–1,Friendly
4,8 June 2008,"Ernst-Happel-Stadion, Vienna, Austria",27,Austria,1–0,1–0,UEFA Euro 2008
5,6 September 2008,"Stadion Maksimir, Zagreb, Croatia",30,Kazakhstan,2–0,3–0,2010 FIFA World Cup qualification
6,15 October 2008,"Stadion Maksimir, Zagreb, Croatia",33,Andorra,3–0,4–0,2010 FIFA World Cup qualification
7,6 June 2009,"Stadion Maksimir, Zagreb, Croatia",35,Ukraine,2–2,2–2,2010 FIFA World Cup qualification
8,6 September 2011,"Stadion Maksimir, Zagreb, Croatia",49,Israel,1–1,3–1,UEFA Euro 2012 qualifying
9,9 September 2014,"Stadion Maksimir, Zagreb, Croatia",80,Malta,1–0,2–0,UEFA Euro 2016 qualifying
10,13 October 2014,"Stadion Gradski vrt, Osijek, Croatia",82,Azerbaijan,5–0,6–0,UEFA Euro 2016 qualifying
11,12 June 2016,"Parc des Princes, Paris, France",91,Turkey,1–0,1–0,UEFA Euro 2016
12,9 November 2017,"Stadion Maksimir, Zagreb, Croatia",102,Greece,1–0,4–1,2018 FIFA World Cup qualification
13,16 June 2018,"Kaliningrad Stadium, Kaliningrad, Russia",107,Nigeria,2–0,2–0,2018 FIFA World Cup
14,21 June 2018,"Nizhny Novgorod Stadium, Nizhny Novgorod, Russia",108,Argentina,2–0,3–0,2018 FIFA World Cup
15,9 September 2019,"Bakcell Arena, Baku, Azerbaijan",124,Azerbaijan,1–0,1–1,UEFA Euro 2020 qualifying
16,10 October 2019,"Stadion Poljud, Split, Croatia",125,Hungary,1–0,3–0,UEFA Euro 2020 qualifying
17,30 March 2021,"Stadion Rujevica, Rijeka, Croatia",136,Malta,2–0,3–0,2022 FIFA World Cup qualification
18,22 June 2021,"Hampden Park, Glasgow, Scotland",141,Scotland,2–1,3–1,UEFA Euro 2020
19,11 October 2021,"Stadion Gradski vrt, Osijek, Croatia",144,Slovakia,2–2,2–2,2022 FIFA World Cup qualification
20,11 November 2021,"National Stadium, Ta' Qali, Malta",145,Malta,4–1,7–1,2022 FIFA World Cup qualification
21,29 March 2022,"Education City Stadium, Al Rayyan, Qatar",148,Bulgaria,1–1,2–1,Friendly
22,13 June 2022,"Stade de France, Saint-Denis, France",152,France,1–0,1–0,2022–23 UEFA Nations League A
23,25 September 2022,"Ernst-Happel-Stadion, Vienna, Austria",154,Austria,1–0,3–1,2022–23 UEFA Nations League A
24,14 June 2023,"De Kuip, Rotterdam, Netherlands",165,Netherlands,4–2,4–2 (a.e.t.),2023 UEFA Nations League Finals
25,8 June 2024,"Estádio Nacional, Oeiras, Portugal",175,Portugal,1–0,2–1,Friendly
26,24 June 2024,"Red Bull Arena, Leipzig, Germany",178,Italy,1–0,1–1,UEFA Euro 2024
27,8 September 2024,"Opus Arena, Osijek, Croatia",180,Poland,1–0,1–0,2024–25 UEFA Nations League A
28,9 June 2025,"Opus Arena, Osijek, Croatia",188,Czech Republic,2–1,5–1,2026 FIFA World Cup qualification
