# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nantes,1986–87,Division 1,13,0,1.0,0.0,–,–,2,0,–,–,16,0
Nantes,1987–88,Division 1,11,0,1.0,0.0,–,–,–,–,–,–,12,0
Nantes,1988–89,Division 1,36,1,4.0,0.0,–,–,–,–,–,–,40,1
Nantes,1989–90,Division 1,36,1,3.0,0.0,–,–,–,–,–,–,39,1
Nantes,1990–91,Division 1,34,1,4.0,0.0,–,–,–,–,–,–,38,1
Nantes,1991–92,Division 1,32,2,1.0,0.0,–,–,–,–,–,–,33,2
Nantes,Total,Total,162,5,14.0,0.0,—,—,2,0,—,—,178,5
Marseille,1992–93,Division 1,31,1,3.0,0.0,–,–,10,1,–,–,44,2
Marseille,1993–94,Division 1,16,0,0.0,0.0,–,–,–,–,–,–,16,0
Marseille,Total,Total,47,1,3.0,0.0,—,—,10,1,—,—,60,2
AC Milan,1993–94,Serie A,21,1,1.0,0.0,0,0,6,2,3,0,31,3
AC Milan,1994–95,Serie A,22,1,1.0,0.0,0,0,10,0,3,0,36,1
AC Milan,1995–96,Serie A,32,2,1.0,0.0,–,–,7,0,–,–,40,2
AC Milan,1996–97,Serie A,29,1,3.0,0.0,1,0,5,0,–,–,38,1
AC Milan,1997–98,Serie A,33,0,8.0,0.0,–,–,–,–,–,–,41,0
AC Milan,Total,Total,137,5,14.0,0.0,1,0,28,2,6,0,186,7
Chelsea,1998–99,Premier League,31,0,6.0,0.0,0,0,7,1,1,0,45,1
Chelsea,1999–2000,Premier League,23,1,4.0,0.0,0,0,16,0,–,–,43,1
Chelsea,2000–01,Premier League,34,2,2.0,0.0,1,0,1,0,1,0,39,2
Chelsea,2001–02,Premier League,24,1,8.0,0.0,3,0,2,0,–,–,37,1
Chelsea,2002–03,Premier League,31,2,1.0,0.0,0,0,1,0,–,–,33,2
Chelsea,2003–04,Premier League,15,0,1.0,0.0,1,0,8,0,–,–,25,0
Chelsea,Total,Total,158,6,22.0,0.0,5,0,35,1,2,0,222,7
Al-Gharafa,2004–05,Stars League,28,6,,,,,–,–,–,–,28,6
Qatar SC,2005–06,Stars League,7,0,,,,,–,–,–,–,7,0
Career total,Career total,Career total,539,23,53.0,0.0,6,0,75,4,8,0,681,27
