# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Pisa,1972–73,Serie C,8,2,–,–,–,–,8,2
Pisa,1973–74,Serie C,33,2,–,–,–,–,33,2
Pisa,Total,Total,41,4,–,–,–,–,41,4
Como,1974–75,Serie B,36,2,,,–,–,36,2
Juventus,1975–76,Serie A,26,2,4,0,3,0,33,2
Juventus,1976–77,Serie A,28,4,4,1,12,2,44,7
Juventus,1977–78,Serie A,26,4,4,1,6,1,36,6
Juventus,1978–79,Serie A,29,4,9,3,2,0,40,7
Juventus,1979–80,Serie A,18,4,2,0,7,0,27,4
Juventus,1980–81,Serie A,28,7,6,0,3,1,37,8
Juventus,1981–82,Serie A,22,3,4,1,3,0,29,4
Juventus,1982–83,Serie A,26,5,10,1,8,3,44,9
Juventus,1983–84,Serie A,28,0,6,1,8,1,42,2
Juventus,1984–85,Serie A,28,2,6,0,9,1,43,3
Juventus,Total,Total,259,35,55,8,61,9,375,52
Internazionale,1985–86,Serie A,19,2,7,2,9,3,34,7
Internazionale,1986–87,Serie A,24,0,7,1,6,0,37,1
Internazionale,Total,Total,43,2,14,3,14,3,71,8
St. Gallen,1987–88,Nationalliga A,14,0,,,–,–,14,0
Career total,Career total,Career total,393,43,69,11,75,12,537,66
