# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1981–82,Eredivisie,1,1,1,0,0,0,–,–,2,1
Ajax,1982–83,Eredivisie,20,9,5,4,0,0,–,–,25,13
Ajax,1983–84,Eredivisie,26,28,4,1,2,0,–,–,32,29
Ajax,1984–85,Eredivisie,33,22,4,2,4,5,–,–,41,29
Ajax,1985–86,Eredivisie,26,37,3,2,2,0,–,–,31,39
Ajax,1986–87,Eredivisie,27,31,7,6,9,6,–,–,43,43
Ajax,Total,Total,133,128,24,15,17,11,—,—,174,154
AC Milan,1987–88,Serie A,11,3,5,5,3,0,–,–,19,8
AC Milan,1988–89,Serie A,33,19,4,3,9,10,1,1,47,33
AC Milan,1989–90,Serie A,26,19,4,1,9,4,3,1,42,25
AC Milan,1990–91,Serie A,31,11,1,0,2,0,1,0,35,11
AC Milan,1991–92,Serie A,31,25,7,4,–,–,–,–,38,29
AC Milan,1992–93,Serie A,15,13,1,0,7,8,1,1,24,22
AC Milan,1993–94,Serie A,0,0,0,0,0,0,–,–,0,0
AC Milan,1994–95,Serie A,0,0,0,0,0,0,–,–,0,0
AC Milan,Total,Total,147,90,22,13,30,22,4,3,205,129
Career total,Career total,Career total,280,218,46,28,47,33,4,3,379,283
