# List of international goals scored by Marco van Basten
No.,Date,Venue,Opponent,Score,Result,Competition
1,21 September 1983,"King Baudouin Stadium, Brussels, Belgium",Belgium,1–0,1–1,Friendly
2,12 October 1983,"Dalymount Park, Dublin, Republic of Ireland",Republic of Ireland,2–2,3–2,UEFA Euro 1984 qualification
3,27 February 1985,"De Meer Stadion, Amsterdam, Netherlands",Cyprus,6–1,7–1,1986 FIFA World Cup qualification
4,12 March 1986,"Zentralstadion, Leipzig, East Germany",East Germany,1–0,1–0,Friendly
5,15 October 1986,"Népstadion, Budapest, Hungary",Hungary,1–0,1–0,UEFA Euro 1988 qualification
6,25 March 1987,"De Kuip, Rotterdam, Netherlands",Greece,1–1,1–1,UEFA Euro 1988 qualification
7,15 June 1988,"Rheinstadion, Düsseldorf, West Germany",England,1–0,3–1,UEFA Euro 1988
8,15 June 1988,"Rheinstadion, Düsseldorf, West Germany",England,2–1,3–1,UEFA Euro 1988
9,15 June 1988,"Rheinstadion, Düsseldorf, West Germany",England,3–1,3–1,UEFA Euro 1988
10,21 June 1988,"Volksparkstadion, Hamburg, West Germany",West Germany,2–1,2–1,UEFA Euro 1988
11,25 June 1988,"Olympiastadion, Munich, West Germany",Soviet Union,2–0,2–0,UEFA Euro 1988
12,22 March 1989,"Philips Stadion, Eindhoven, Netherlands",Soviet Union,1–0,2–0,Friendly
13,26 April 1989,"De Kuip, Rotterdam, Netherlands",West Germany,1–1,1–1,1990 FIFA World Cup qualification
14,30 May 1990,"Ernst-Happel-Stadion, Vienna, Austria",Austria,2–3,2–3,Friendly
15,3 June 1990,"Stadion Maksimir, Zagreb, Yugoslavia",Yugoslavia,2–0,2–0,1990 Yugoslavia v Netherlands football match
16,21 November 1990,"De Kuip, Rotterdam, Netherlands",Greece,2–0,2–0,UEFA Euro 1992 qualification
17,19 December 1990,"National Stadium, Ta' Qali, Malta",Malta,1–0,8–0,UEFA Euro 1992 qualification
18,19 December 1990,"National Stadium, Ta' Qali, Malta",Malta,2–0,8–0,UEFA Euro 1992 qualification
19,19 December 1990,"National Stadium, Ta' Qali, Malta",Malta,3–0,8–0,UEFA Euro 1992 qualification
20,19 December 1990,"National Stadium, Ta' Qali, Malta",Malta,6–0,8–0,UEFA Euro 1992 qualification
21,19 December 1990,"National Stadium, Ta' Qali, Malta",Malta,8–0,8–0,UEFA Euro 1992 qualification
22,13 March 1991,"De Kuip, Rotterdam, Netherlands",Malta,1–0,1–0,UEFA Euro 1992 qualification
23,17 April 1991,"De Kuip, Rotterdam, Netherlands",Finland,1–0,2–0,UEFA Euro 1992 qualification
24,30 May 1992,"Stadion Galgenwaard, Utrecht, Netherlands",Wales,2–0,4–0,Friendly
