# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Pescara,2008–09,Lega Pro Prima Divisione,7,0,2,0,—,—,—,—,—,—,9,0
Pescara,2009–10,Lega Pro Prima Divisione,8,1,0,0,—,—,—,—,—,—,8,1
Pescara,2010–11,Serie B,28,1,1,0,—,—,—,—,—,—,29,1
Pescara,2011–12,Serie B,31,0,1,0,—,—,—,—,—,—,32,0
Pescara,Total,Total,74,2,4,0,—,—,—,—,—,—,78,2
Paris Saint-Germain,2012–13,Ligue 1,27,0,3,0,0,0,9,0,—,—,39,0
Paris Saint-Germain,2013–14,Ligue 1,29,0,1,0,4,0,8,0,1,0,43,0
Paris Saint-Germain,2014–15,Ligue 1,32,2,6,0,3,0,7,1,1,0,49,3
Paris Saint-Germain,2015–16,Ligue 1,18,0,1,0,3,0,5,0,1,0,28,0
Paris Saint-Germain,2016–17,Ligue 1,28,3,3,0,4,0,7,0,1,0,43,3
Paris Saint-Germain,2017–18,Ligue 1,22,0,3,0,4,0,8,2,1,0,38,2
Paris Saint-Germain,2018–19,Ligue 1,26,0,3,1,1,0,7,0,1,0,38,1
Paris Saint-Germain,2019–20,Ligue 1,20,0,3,0,4,0,9,0,1,0,37,0
Paris Saint-Germain,2020–21,Ligue 1,21,0,2,0,—,—,7,0,1,0,31,0
Paris Saint-Germain,2021–22,Ligue 1,24,2,3,0,—,—,5,0,0,0,32,2
Paris Saint-Germain,2022–23,Ligue 1,29,0,1,0,—,—,7,0,1,0,37,0
Paris Saint-Germain,Total,Total,276,7,29,1,23,0,79,3,9,0,416,11
Al-Arabi,2023–24,Qatar Stars League,17,0,2,0,2,0,—,—,—,—,21,0
Al-Arabi,2024–25,Qatar Stars League,16,4,0,0,3,0,—,—,2,1,21,5
Al-Arabi,Total,Total,33,4,2,0,5,0,—,—,2,1,42,5
Al Duhail,2025–26,Qatar Stars League,5,0,0,0,0,0,1,0,—,—,6,0
Career total,Career total,Career total,388,13,35,1,28,0,80,3,11,1,542,18
