# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Borussia Dortmund,2009–10,Bundesliga,5,0,0,0,—,—,—,—,5,0
Borussia Dortmund,2010–11,Bundesliga,33,6,2,0,6,2,—,—,41,8
Borussia Dortmund,2011–12,Bundesliga,17,6,2,1,6,0,1,0,26,7
Borussia Dortmund,2012–13,Bundesliga,28,10,4,4,11,2,1,0,44,16
Borussia Dortmund,Total,Total,83,22,8,5,23,4,2,0,116,31
Bayern Munich,2013–14,Bundesliga,27,10,4,1,11,3,3,1,45,15
Bayern Munich,2014–15,Bundesliga,32,9,4,2,11,4,1,0,48,15
Bayern Munich,2015–16,Bundesliga,14,3,2,1,4,2,1,0,21,6
Bayern Munich,Total,Total,73,22,10,4,26,9,5,1,114,36
Borussia Dortmund,2016–17,Bundesliga,11,1,1,0,4,1,0,0,16,2
Borussia Dortmund,2017–18,Bundesliga,23,2,0,0,9,0,0,0,32,2
Borussia Dortmund,2018–19,Bundesliga,26,7,2,0,6,0,—,—,34,7
Borussia Dortmund,2019–20,Bundesliga,15,3,2,0,4,0,0,0,21,3
Borussia Dortmund,Total,Total,75,13,5,0,23,1,0,0,103,14
PSV Eindhoven,2020–21,Eredivisie,18,5,1,0,6,1,—,—,25,6
PSV Eindhoven,2021–22,Eredivisie,29,4,5,2,17,5,1,1,52,12
PSV Eindhoven,Total,Total,47,9,6,2,23,6,1,1,77,18
Eintracht Frankfurt,2022–23,Bundesliga,32,3,6,0,7,0,1,0,46,3
Eintracht Frankfurt,2023–24,Bundesliga,30,3,2,1,9,0,—,—,41,4
Eintracht Frankfurt,2024–25,Bundesliga,24,3,3,0,8,2,—,—,35,5
Eintracht Frankfurt,2025–26,Bundesliga,1,0,0,0,0,0,—,—,1,0
Eintracht Frankfurt,Total,Total,87,9,11,1,24,2,1,0,123,12
Career total,Career total,Career total,365,75,40,12,118,21,11,2,533,111
