# List of international goals scored by Mario Götze
No.,Date,Venue,Opponent,Score,Result,Competition
1,10 August 2011,"Mercedes-Benz Arena, Stuttgart, Germany",Brazil,2–0,3–2,Friendly
2,2 September 2011,"Veltins-Arena, Gelsenkirchen, Germany",Austria,6–2,6–2,UEFA Euro 2012 qualifying
3,7 September 2012,"AWD-Arena, Hanover, Germany",Faroe Islands,1–0,3–0,2014 FIFA World Cup qualification
4,22 March 2013,"Astana Arena, Astana, Kazakhstan",Kazakhstan,2–0,3–0,2014 FIFA World Cup qualification
5,26 March 2013,"Frankenstadion, Nuremberg, Germany",Kazakhstan,2–0,4–1,2014 FIFA World Cup qualification
6,15 October 2013,"Friends Arena, Solna, Sweden",Sweden,2–2,5–3,2014 FIFA World Cup qualification
7,5 March 2014,"Mercedes-Benz Arena, Stuttgart, Germany",Chile,1–0,1–0,Friendly
8,6 June 2014,"Coface Arena, Mainz, Germany",Armenia,5–1,6–1,Friendly
9,6 June 2014,"Coface Arena, Mainz, Germany",Armenia,6–1,6–1,Friendly
10,21 June 2014,"Castelão, Fortaleza, Brazil",Ghana,1–0,2–2,2014 FIFA World Cup
11,13 July 2014,"Estádio do Maracanã, Rio de Janeiro, Brazil",Argentina,1–0,1–0 (a.e.t.),2014 FIFA World Cup
12,3 September 2014,"Esprit Arena, Düsseldorf, Germany",Argentina,2–4,2–4,Friendly
13,14 November 2014,"Frankenstadion, Nuremberg, Germany",Gibraltar,3–0,4–0,UEFA Euro 2016 qualifying
14,10 June 2015,"RheinEnergieStadion, Cologne, Germany",United States,1–0,1–2,Friendly
15,4 September 2015,"Commerzbank-Arena, Frankfurt, Germany",Poland,2–0,3–1,UEFA Euro 2016 qualifying
16,4 September 2015,"Commerzbank-Arena, Frankfurt, Germany",Poland,3–1,3–1,UEFA Euro 2016 qualifying
17,29 March 2016,"Allianz Arena, Munich, Germany",Italy,2–0,4–1,Friendly
